"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"1367","1098","","","","","20637007","2009-02-11T22:50:57.000Z","Radio. Advice columnist. Author. TV. Registered Clinical Counsellor. World class bargain shopper.","","Shooter at #LAX http://t.co/KqooxQ39tY","","","","en","","","","","","","","false","0","false","","","false","","3640","","","","","","","","","","","","false","","","","false","","","false","396319709475246080","Rhona Raskin","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","en","","","false","","","8295","http://t.co/5WKYCSBP0k","false","false","","","","","49","[http://www.nydailynews.com/news/national/lax-gunman-opens-fire-la-airport-article-1.1503916]","","","","","0","","","","[LAX]","-1","RhonaRaskin","","","","2013-11-01T16:55:56.000Z","","",""
"1795","2817","David Adair","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","396319342754680832","207783185","2010-10-26T01:06:29.000Z","USC Fighting #Gamecocks #SpursUp 🐓🤙🏿#ChopOn  #KeepPounding #BuzzCity & Carolina #Hurricanes #BlackLivesMatter #LGBTQ 🌈 #Democrat #TheResistance 🇺🇸","","Reports of man with rifle opened fire in terminal 3 at #LAX","","","en","en","false","[25738290]","","19565","","true","false","false","3","false","","65","false","","89732","Columbia South Carolina","","","0","-1","","","CaptDaveOnAir","[LAX]","","2013-11-01T16:54:29.000Z","false","","","","false","5038","4595","false","396319692694233088","Charlie Moore Jr.🌊","25738290","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","2009-03-21T22:22:43.000Z","","","","Reports of man with rifle opened fire in terminal 3 at #LAX","en","","RT @CaptDaveOnAir: Reports of man with rifle opened fire in terminal 3 at #LAX","false","en","","261217","","true","false","3","false","false","","115","","false","","36509","GAMECOCK COUNTRY,Columbia,SC","0","","","","[LAX]","-1","USCGamecockBoy","","false","","2013-11-01T16:55:52.000Z","","[CaptDaveOnAir]","false"
"7643","2262","NewsBreaker","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","false","396315304604614657","1931069166","2013-10-03T15:26:22.000Z","took a break from work to see what else is out there: from Jan'14 to Feb'15 we enjoyed #travelling & #backpacking around #SEA #China & #Australia","","EYEWITNESS: @ToryBelleci reports hearing gun shots, ""then everyone starting running for the door."" Outside now @ #LAX http://t.co/LdPp8RRvqS","","","en","en","false","[774393817, 60101131]","","64595","http://t.co/dEOV3Oauy0","false","false","false","93","false","","2524","false","","272","","","","5","-1","","","NewsBreaker","[LAX]","[http://pbs.twimg.com/media/BX_-q2eCQAAbWny.jpg]","2013-11-01T16:38:26.000Z","false","","[ToryBelleci]","","false","83873","4968","false","396317331330433024","The Two Gallivants","774393817","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2012-08-22T20:02:43.000Z","","@OraTV's @NewsBreaker team delivers #breakingnews and trending buzz in 45 seconds. Tips: newsbreaker@ora.tv","","EYEWITNESS: @ToryBelleci reports hearing gun shots, ""then everyone starting running for the door."" Outside now @ #LAX http://t.co/LdPp8RRvqS","en-gb","[60101131]","RT @NewsBreaker: EYEWITNESS: @ToryBelleci reports hearing gun shots, ""then everyone starting running for the door."" Outside now @ #LAX http…","false","en","","1196","http://t.co/grKAAQQqcy","true","false","93","false","false","","109","","false","[photo]","3385","London","0","","","","[LAX]","-1","twogallivants","","true","","2013-11-01T16:46:29.000Z","","[NewsBreaker, ToryBelleci]","false"
"3409","986","Bill Reiter","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false","396313381423960064","282262033","2011-04-14T21:41:19.000Z","Mobile editor. Doing entrepreneur and app things @Forbes.","","An LAX employee just told me there was a shooting at the airport in the terminal. I asked if t/shooter was down he said he couldn't tell me.","","","en","en","false","[3052934440]","","22082","https://t.co/2dDXmWQvja","true","false","false","284","false","","673","false","","947","New York, NY","","","20","-1","","","sportsreiter","","","2013-11-01T16:30:47.000Z","false","","","","false","21647","841","false","396318174385561600","Emily Inverso","128427810","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","2010-04-01T02:51:54.000Z","","@CBSsports HQ's ""Reiter's Block"" 4-5 pm EST | @CBSSportsRadio ""Reiter Than You"" 6-10 pm EST | Columnist | Mizzou grad | Father & Husband | Never Surrender |","","An LAX employee just told me there was a shooting at the airport in the terminal. I asked if t/shooter was down he said he couldn't tell me.","en","","RT @foxsportsreiter: An LAX employee just told me there was a shooting at the airport in the terminal. I asked if t/shooter was down he sai…","false","en","","1315","http://t.co/3vAIXNVaQT","true","false","284","false","false","","101","","false","","5480","","0","","","","","-1","EmilyInverso","","true","","2013-11-01T16:49:50.000Z","","[foxsportsreiter]","false"
"1296","1367","KIRO 7","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","false","396315297822826496","218547767","2010-11-22T16:50:54.000Z","News, sports and lifestyle stories from the Pacific Northwest | Member of the @CBSRadio Seattle Group","","RT @CBSLA: #BREAKING: #LAPD: Incident Reported In Terminal 3 At #LAX. http://t.co/qkNvtvOLpp","","","en","en","false","[21116401, 24928809]","","270624","http://t.co/NA38YP3JA7","true","false","false","2","false","","3653","false","[http://cbsloc.al/1dYBR5E]","121","Seattle","","","0","-1","","","KIRO7Seattle","[BREAKING, LAPD, LAX]","","2013-11-01T16:38:24.000Z","false","","[CBSLA]","","false","422949","10020","false","396318828675616768","CBS Seattle","21116401","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","2009-02-17T18:49:24.000Z","","News, traffic, & weather from Seattle and Western WA. Download our apps: https://t.co/QHuM65be3k (Note: Tweets to us may be showcased in any of our media.)","","RT @CBSLA: #BREAKING: #LAPD: Incident Reported In Terminal 3 At #LAX. http://t.co/qkNvtvOLpp","en","[24928809]","RT @KIRO7Seattle: RT @CBSLA: #BREAKING: #LAPD: Incident Reported In Terminal 3 At #LAX. http://t.co/qkNvtvOLpp","false","en","","11886","https://t.co/OhxHCJLB8a","false","false","2","false","false","","108","[http://cbsloc.al/1dYBR5E]","false","","4198","Seattle, WA","0","","","","[BREAKING, LAPD, LAX]","-1","CBSSeattleWA","","true","","2013-11-01T16:52:26.000Z","","[KIRO7Seattle, CBSLA]","false"
"1226","341","Bill Reiter","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false","396313381423960064","14609188","2008-05-01T02:16:29.000Z","East coast guy living out of place in LA. Buckeye by blood, Hokie by birth. Voted Most Spirited of Senior Class. THE truth is greater than YOUR  truth.","","An LAX employee just told me there was a shooting at the airport in the terminal. I asked if t/shooter was down he said he couldn't tell me.","","","en","en","false","[3052934440]","","22082","https://t.co/2dDXmWQvja","true","false","false","284","false","","673","false","","3625","New York, NY","","","20","-1","","","sportsreiter","","","2013-11-01T16:30:47.000Z","false","","","","false","21647","841","false","396318556058431488","Rob Embrey","128427810","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","2010-04-01T02:51:54.000Z","","@CBSsports HQ's ""Reiter's Block"" 4-5 pm EST | @CBSSportsRadio ""Reiter Than You"" 6-10 pm EST | Columnist | Mizzou grad | Father & Husband | Never Surrender |","","An LAX employee just told me there was a shooting at the airport in the terminal. I asked if t/shooter was down he said he couldn't tell me.","en","","RT @foxsportsreiter: An LAX employee just told me there was a shooting at the airport in the terminal. I asked if t/shooter was down he sai…","false","en","","124931","","true","false","284","false","false","","95","","false","","5480","Somewhere around LA","0","","","","","-1","baywatchboy","","true","","2013-11-01T16:51:21.000Z","","[foxsportsreiter]","false"
"625","1253","Stephen Jones","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","false","396315132080312320","20667606","2009-02-12T10:52:19.000Z","Father, husband + Online Content Manager for @Broadcastnow. Formerly of @msn and @bgov. Few thoughts on sport thrown in. All opinions are mine and mine alone.","","Reports of gunfire at LAX airport in Los Angeles http://t.co/bwcoS5YY0w","","","en","en","false","","","23761","","true","false","false","4","false","","149","false","[http://losangeles.cbslocal.com/2013/11/01/lapd-incident-reported-in-terminal-3-at-lax/#.UnPXW7FodZY.twitter]","2001","London","","","0","-1","","","SteveJonesPA","","","2013-11-01T16:37:45.000Z","false","","","","false","3958","3051","false","396315204813729793","Paul Weatherley","121560741","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","2010-03-09T22:08:23.000Z","","Social Media Editor @PA. Beleaguered @leytonorientfc fan. Want to chat? stephen dot jones at pressassociation dot com","","Reports of gunfire at LAX airport in Los Angeles http://t.co/bwcoS5YY0w","en","","RT @MSNSteveJ: Reports of gunfire at LAX airport in Los Angeles http://t.co/bwcoS5YY0w","false","en","","27000","","false","false","4","false","false","","28","[http://losangeles.cbslocal.com/2013/11/01/lapd-incident-reported-in-terminal-3-at-lax/#.UnPXW7FodZY.twitter]","false","","2396","London","0","","","","","-1","paulweatherley","","true","","2013-11-01T16:38:02.000Z","","","false"
"480","843","","","","","145867095","2010-05-20T02:21:22.000Z","Sanders Delegate FL Dist 21, Progressive Democratic Socialist and activist, NNU FL Registered Nurse. RTs not always an endorsement. #StillSanders DWCF, Inc.","","Enough! Enough! Enough!! When will lawmakers get the message? #NoMoreGunViolence #MothersAgainstGuns #GunsKill #LAXshooting","","","","en","","","","","","","","false","0","false","","","false","","164","","","","","","","","","","","","false","","","","false","","","false","396319231316619264","Diana Hatsis-Neuhoff","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","","","","en","","","false","","","3930","https://t.co/7d9JySIpSc","true","false","","","","","23","","","","","Palm Beach County, FL","0","","","","[NoMoreGunViolence, MothersAgainstGuns, GunsKill, LAXshooting]","-1","The_Squiress","","","","2013-11-01T16:54:02.000Z","","",""
"369","199","","","","","368061611","2011-09-05T01:10:09.000Z","25. ♏️","","How in the hell did guns get past airport security?? Somebody at LAX about to be out of a job","","","","en","","","","","","","","false","0","false","","","false","","8291","","","","","","","","","","","","false","","","","false","","","false","396319210348892160","B 🌸","","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","","","","","","en","","","false","","","66927","","false","false","","","","","5","","","","","ATL","0","","","","","-1","brittanyyyyxox","","","","2013-11-01T16:53:57.000Z","","",""
"556","628","L.A. Times: L.A. Now","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","396319132510978048","31343671","2009-04-15T04:52:30.000Z","New Normal Real Estate Agent, vlogger wannabe, Social media junkie, IPA lover. Red Crosser. What you see here is only my thoughts, views, opinions and like.","","LAX shooting: 1 TSA agent has been shot and a suspect has been wounded according to sources. http://t.co/6LqVr2AoG4","","","en","en","false","[17036898]","","100069","https://t.co/6k4qSdf5J8","true","false","false","590","false","","4041","false","","5961","Los Angeles, CA","[photo]","","41","-1","","","LANow","","[http://pbs.twimg.com/media/BYACJrfCAAAQGzR.jpg]","2013-11-01T16:53:39.000Z","false","","","","false","526930","602","false","396319789167046656","Hector Reyes","17036898","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2008-10-29T05:55:55.000Z","","Southern California -- this just in. News from L.A. and beyond from the Los Angeles Times. See @latimes for more news.","","LAX shooting: 1 TSA agent has been shot and a suspect has been wounded according to sources. http://t.co/6LqVr2AoG4","en","","RT @LANow: LAX shooting: 1 TSA agent has been shot and a suspect has been wounded according to sources. http://t.co/6LqVr2AoG4","false","en","","3695","https://t.co/kNkx9VvRjh","true","false","590","false","false","","58","","false","[photo]","462","Victorville, CA","0","","","","","-1","agent_hector","","true","[http://pbs.twimg.com/media/BYACJrfCAAAQGzR.jpg]","2013-11-01T16:56:15.000Z","","[LANow]","false"
