"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"890","510","Jim Roberts","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false","407138232795938817","582099002","2012-05-16T19:32:26.000Z","News outlet for Magic 590, B95.5, Fly 92.3, Jamz 96.3,100.9 The Cat, 104.9 The Peak.
NEWS TIPS: NEWS@ALBANYBROADCASTING.CO","","Wow. “@NJerzyFireAlert: AERIAL PICTURE METRO NORTH TRAIN DERAILMENT IN BRONX NYC. @PzFeed http://t.co/yU2ZxnFY9r”","","","en","en","false","[14940354, 1195990152, 810605923702079494]","","106801","","true","false","false","87","false","","6563","false","","44","iPhone: 40.751663,-73.989670","[photo]","1195990152","4","-1","","","nycjim","","[http://pbs.twimg.com/media/BaZxpAiIYAA7Zz_.jpg]","2013-12-01T13:24:53.000Z","false","","[NJerzyFireAlert, PzFeed]","","false","206200","2201","false","407139025720713216","Capital Region News","14940354","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2008-05-29T03:01:14.000Z","","Full-time student of the news & long-time follower of the Grateful Dead. Editor-in-Chief, 🧀Cheddar. Ex-NYT, Mashable. Listen to the thunder shout.","407137765818892288","Wow. “@NJerzyFireAlert: AERIAL PICTURE METRO NORTH TRAIN DERAILMENT IN BRONX NYC. @PzFeed http://t.co/yU2ZxnFY9r”","en","[1195990152, 810605923702079494]","RT @nycjim: Wow. “@NJerzyFireAlert: AERIAL PICTURE METRO NORTH TRAIN DERAILMENT IN BRONX NYC. @PzFeed http://t.co/yU2ZxnFY9r”","false","en","","12650","http://t.co/lQdpFdgzj7","true","false","87","false","false","","22","","false","[photo]","21280","Latham, NY","0","","","NJerzyFireAlert","","-1","CapRegionNews","","true","[http://pbs.twimg.com/media/BaZxpAiIYAA7Zz_.jpg]","2013-12-01T13:28:02.000Z","","[nycjim, NJerzyFireAlert, PzFeed]","false"
"5320","5815","","","","","3847661","2007-04-09T02:56:38.000Z","#AfroPunk. Noisemaker/mangler. @HellboundMetal. Political/policy junk(ie). #LdnOnt. They/them. [Lord's name in vain]. PR: bastardlogic@gmail.com","","RT @NYDailyNews: UPDATE: Four dead, two were ejected from train in @MetroNorth NYC derailment. http://t.co/5849VaOByA Many others injured.","","","","en","","[9763482, 101803450]","","","","","","false","2","false","","","false","","270900","","","","","","","","","","","","false","","","","false","","","false","407152225170247680","Matthew Elliot","","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","","","","","","en","","","false","","","113714","https://t.co/8vJEaOJZoK","false","false","","","","","397","[http://nydn.us/1j7p0il]","","","","VPPËR CANADA","0","","","","","-1","matttbastard","","","","2013-12-01T14:20:29.000Z","","[NYDailyNews, MetroNorth]",""
"152","141","RT","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","407141937481650177","767903096","2012-08-19T17:14:10.000Z","Which came first, the duck or the egg?","","UPDATE: At least 3 killed, many injured in NYC train derailment - local media http://t.co/WYrU4wrnxQ","","","en","en","false","[64643056]","","257071","http://t.co/bDDyvy9DmR","true","false","true","46","false","","21435","false","[http://on.rt.com/vphhi2]","3401","","","","4","-1","","","RT_com","","","2013-12-01T13:39:36.000Z","false","","","","false","2702451","626","false","407153055642423296","tathh","64643056","<a href=""http://janetter.net/"" rel=""nofollow"">Janetter for Mac</a>","2009-08-11T06:12:45.000Z","","RT, the global news network, broadcasts from Moscow, London, Paris and Washington studios to over 100 countries.","","UPDATE: At least 3 killed, many injured in NYC train derailment - local media http://t.co/WYrU4wrnxQ","en","","RT @RT_com: UPDATE: At least 3 killed, many injured in NYC train derailment - local media http://t.co/WYrU4wrnxQ","false","en","","21768","","false","false","46","false","false","","7","[http://on.rt.com/vphhi2]","false","","856","Lost
","0","","","","","-1","tathh1","","true","","2013-12-01T14:23:47.000Z","","[RT_com]","false"
"509","1957","BBC Breaking News","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","false","407160195249209345","237779440","2011-01-13T16:22:35.000Z","Singer /Pop. Ig:Adoniscespedes snapchat:Adoniscespedes","","New York train crash: Continuing coverage of Metro-North derailment in Bronx - http://t.co/rZXq9In3Lu http://t.co/3BCAq3ViAk","","","en","en","false","[5402612]","","34429","http://t.co/vBzl7LOaso","false","false","false","947","false","","132005","false","[http://bbc.in/18fiU7Q]","1","London, UK","","","132","-1","","","BBCBreaking","","[http://pbs.twimg.com/media/BaaGCkzCMAA8Mui.jpg]","2013-12-01T14:52:09.000Z","false","","","","false","38241685","3","false","407161049998458880","Adonis Cespedes E.","5402612","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2007-04-22T14:42:37.000Z","","Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.","","New York train crash: Continuing coverage of Metro-North derailment in Bronx - http://t.co/rZXq9In3Lu http://t.co/3BCAq3ViAk","es","","RT @BBCBreaking: New York train crash: Continuing coverage of Metro-North derailment in Bronx - http://t.co/rZXq9In3Lu http://t.co/3BCAq3Vi…","false","en","","29397","http://t.co/zKVTvOvdrO","true","false","947","false","false","","2","[http://bbc.in/18fiU7Q]","false","[photo]","0","Dominican Republic ","0","","","","","-1","AdonsCespedes","","true","","2013-12-01T14:55:33.000Z","","[BBCBreaking]","false"
"1403","1240","","","","","25250866","2009-03-19T06:31:40.000Z","Producer / Artist / CEO","","Train derailment on the metro north coming from Poughkeepsie I think they said it's the 504 so if anybody had... http://t.co/4R3qBvAj0Q","","","","en","","","","","","","","true","0","false","","","false","","15","","","","","","","","","","","","false","","","","false","","","false","407158487257317376","Solagre Music Prod.","","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","","","","","","en","","","false","","","6926","https://t.co/pJYSF6ermn","false","false","","","","","22","[http://fb.me/2QBA4zXru]","","","","NYC","0","","","","","-1","kontra152","","","","2013-12-01T14:45:22.000Z","","",""
"1479","950","Jamie Stelter","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false","407146219220516864","18853975","2009-01-11T01:56:33.000Z","The New York Times once called me reasonably appealing...","","Metro North train derailment in the Bronx was the 5:54am Poughkeepsie to Grand Central. photo via @danielcohen: http://t.co/fYrPQeOWc4","","","en","en","false","[1957045056, 1622801]","","39477","https://t.co/9ffLHAdwlk","true","false","false","20","false","","531","false","","1120","New York City","","","4","-1","","","JamieStelter","","[http://pbs.twimg.com/media/BaZz2FqIUAEXBVT.jpg]","2013-12-01T13:56:37.000Z","false","","[danielcohen]","","false","23243","961","false","407147988935798785","Jenny Gill","32542903","<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","2009-04-17T19:53:42.000Z","","up before the sun (and @sunnystelter) doing traffic on @NY1 •• is this the year the @Eagles win the super bowl?","","Metro North train derailment in the Bronx was the 5:54am Poughkeepsie to Grand Central. photo via @danielcohen: http://t.co/fYrPQeOWc4","en","[1622801]","RT @JamieShupak: Metro North train derailment in the Bronx was the 5:54am Poughkeepsie to Grand Central. photo via @danielcohen: http://t.c…","false","en","","19704","http://t.co/aqNXXqUPEj","false","false","20","false","false","","57","","false","[photo]","46166","New York, NY","0","","","","","-1","nycjenny","","true","","2013-12-01T14:03:39.000Z","","[JamieShupak, danielcohen]","false"
"74416","5143","","","","","228874251","2010-12-20T22:42:22.000Z","BBC Weather Presenter.  Also, presenter of TV series Coast Lives, Walk the Line, Weather Watchers, & BBC NI Children in Need host. barra.best@bbc.co.uk","","Train derailment in the Bronx, New York. Looks like some carriages are in the river. Video by @SheldonDutes4NY  https://t.co/bwMXFDgQgN","","","","en","","","","","","","","false","8","false","","","false","","107934","","","","","","","","","","","","true","","","","false","","","false","407142192386289665","Barra Best","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","en","","","false","","","100191","https://t.co/0mD4G6NZ3A","true","false","","","","","422","[https://vine.co/v/hPFuj2IMUbK]","","","","Belfast, Ireland","1","","","","","-1","barrabest","","","","2013-12-01T13:40:37.000Z","","",""
"339","733","","","","","81833053","2009-10-12T12:43:48.000Z","Me, Myself and I, rep RSE to the fullest @rsenaija #Chef #Rapper #Team @ACMILAN for life","","RT""@BreakingNews: Photo: Carriages in New York City train derailment - via Instagram user squintysabre http://t.co/xUFJ1MGiom""","","","","en","","[6017542]","","","","","","false","0","false","","","false","","163","","","","","","","","","","","","false","","","","false","","","false","407135577977675777","LEO SLIMFIT","","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","","","","","","en","","","false","","","6542","http://t.co/OfUFnMJGnY","true","false","","","","","20","[http://bit.ly/1b8eBi6]","","","","Lagos, Nigeria","0","","","","","-1","slimfitgenius","","","","2013-12-01T13:14:20.000Z","","[BreakingNews]",""
"2653","4322","","","","","1944783854","2013-10-07T17:36:39.000Z","im open,honest,too bloody nice. I speak my mind,don't upset me or I'll bite your head off,just treat me like I would treat you😉","51.5471353","everyone enjoy your sunday roasts and have a lovely sunday,my prayers goes out to those hurt or killed in the train derailment in new york.","","","","en","","","0.7322202","","","","","false","0","false","Southend-on-Sea, England","","false","","2531","","","","","","","","","","","","false","","","","false","","","false","407146994868948992","melvin williams","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","","","","en","","","false","","","10884","","true","false","","","","","10","","","","","Southend-on-Sea, Essex,England","0","","[[51.504466, 0.622825], [51.504466, 0.848965], [51.576801, 0.848965], [51.576801, 0.622825]]","","","-1","dmelvin0","","","","2013-12-01T13:59:42.000Z","","",""
"598","919","J. David Goodman","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","407148773781934081","500892447","2012-02-23T15:39:47.000Z","Law | EU & Itnl. Affairs | Governance. Abierto al mundo. Europeísta convencido. Antes en @TheNESACenter @IWA_Wales","","MTA is saying ""possible fatalities"" in the Metro North derailment. No confirmation yet on number","","","en","en","false","[16395525]","","11271","https://t.co/Mk5oLDWaEG","true","false","false","56","false","","517","false","","16989","New York City","","","21","-1","","","jdavidgoodman","","","2013-12-01T14:06:46.000Z","false","","","","false","10191","1082","false","407149834433732608","Cristian VP","16395525","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2008-09-21T21:43:07.000Z","","City Hall reporter for The New York Times. “You must be very important"" - Mayor Bill de Blasio","","MTA is saying ""possible fatalities"" in the Metro North derailment. No confirmation yet on number","es","","RT @jdavidgoodman: MTA is saying ""possible fatalities"" in the Metro North derailment. No confirmation yet on number","false","en","","16886","https://t.co/qLBY9AP2eD","true","false","56","false","false","","10","","false","","1078","Ourense, ES, UE ","0","","","","","-1","CristianVPrieto","","true","","2013-12-01T14:10:59.000Z","","[jdavidgoodman]","false"
