"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"3168","3579","","","","","514383693","2012-03-04T14:12:43.000Z","","","Rockefeller Reveals 9/11 FRAUD to Aaron Russo, http://t.co/iw4tWeQB #Politics #911 #9_11 #311 #3_11 #japan #earthquake #CNN #Economy","","","","nl","","","","","","","","false","0","false","","","false","","10","","","","","","","","","","","","false","","","","false","","","false","247236067890176000","information911","","<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","","","","","","ja","","","false","","","7424","","false","false","","","","","5","[http://bit.ly/h3MBKB]","","","","","0","","","","[Politics, japan, earthquake, CNN, Economy]","-1","information911","","","","2012-09-16T07:30:46.000Z","","",""
"92","26","","","","","461937873","2012-01-12T11:13:53.000Z","Teknik informatika '17","","#Earthquake Magnitude  ML 2.5Region  CENTRAL TURKEYDate time  2012-09-17   05:25:44.0 UTCLocation  37.49 N ; 35.... http://t.co/Sgzuhz1R","","","","ro","","","","","","","","false","0","false","","","false","","2","","","","","","","","","","","","false","","","","false","","","false","247604222906998784","Rosady F. Alfian","","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","","","","","","id","","","false","","","22215","","true","false","","","","","2","[http://j.mp/RegYZF]","","","","Klaten, Indonesia","0","","","","[Earthquake]","-1","RosadyF","","","","2012-09-17T07:53:41.000Z","","",""
"5960","2653","Juan Carlos Agüero","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","247852390479450112","14628107","2008-05-02T16:53:21.000Z","Un colombiano en Costa Rica. Informático | #LaSele #SeleccionColombia | Amigos | Sushi | Mariscos | #LindoserMorado | #TeamAbril | Parrillero","","Migración obliga a 12 futbolistas extranjeros que juegan en #CostaRica que salgan del país por no presentar permisos de trabajo","","","es","es","false","[270196321]","","73032","https://t.co/3aMWtkOMrq","true","false","false","6","false","","128","false","","1978","Costa Rica","","","0","-1","","","juankaguerom","[CostaRica]","","2012-09-18T00:19:49.000Z","false","","","","false","23608","1904","false","247860218048942080","Cristian 🇨🇴🇨🇷","270196321","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","2011-03-22T05:02:13.000Z","","Periodista @tdmas_cr. ""De niño quise ser jugador de fútbol. Por mi absoluta falta de talento, no tuve más remedio que hacerme escritor""","","Migración obliga a 12 futbolistas extranjeros que juegan en #CostaRica que salgan del país por no presentar permisos de trabajo","en","","RT @juankaguerom: Migración obliga a 12 futbolistas extranjeros que juegan en #CostaRica que salgan del país por no presentar permisos d ...","false","es","","249861","","true","false","6","false","false","","91","","false","","13282","San José, Costa Rica","0","","","","[CostaRica]","-1","D3sC0","","false","","2012-09-18T00:50:55.000Z","","[juankaguerom]","false"
"804","1950","regione piemonte","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","248078810266890241","428849994","2011-12-05T07:49:57.000Z","se la legge è uguale per tutti,perchè,a buon intenditore poche parole?https://t.co/tL5RugHcDu","","#terremoto Emilia: un aiuto da Mude Piemonte - Modello Unico digitale per l’Edilizia http://t.co/IIjGggVv @RegioneER @csipiemonte @twitorino","","","it","it","false","[90641656]","","9528","https://t.co/Hi4rOdz6uc","false","false","false","2","false","","537","false","[http://bit.ly/OA7fvZ]","765","Torino - Piazza Castello, 165","","","0","-1","","","regionepiemonte","[terremoto]","","2012-09-18T15:19:32.000Z","false","","[RegioneER, csipiemonte, twitorino]","","false","95096","1370","false","248095728218550272","marina marini","90641656","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2009-11-17T14:37:17.000Z","","Il canale ufficiale della Regione Piemonte su Twitter.  #informazioni scelte dall'URP (Ufficio Relazioni con il Pubblico)","","#terremoto Emilia: un aiuto da Mude Piemonte - Modello Unico digitale per l’Edilizia http://t.co/IIjGggVv @RegioneER @csipiemonte @twitorino","it","[60608418, 194044880, 17488916]","RT @regionepiemonte: #terremoto Emilia: un aiuto da Mude Piemonte - Modello Unico digitale per l’Edilizia http://t.co/IIjGggVv @RegioneE ...","false","it","","8229","https://t.co/tL5RugHcDu","false","false","2","false","false","","6","[http://bit.ly/OA7fvZ]","false","","2902","torino","0","","","","[terremoto]","-1","marinamarini56","","false","","2012-09-18T16:26:45.000Z","","[regionepiemonte]","false"
"2644","4","","","","","390033397","2011-10-13T11:00:58.000Z","Bringing you geology & astronomy news alerts","","#earthquake: M 3.0 - Caribean Puerto Rico [San Juan] San Juan: Preliminary Earthquake Report:

	Date/Time: 18.0... http://t.co/rUNqZaaw","","","","tl","","","","","","","","false","0","false","","","false","","1","","","","","","","","","","","","false","","","","false","","","false","247954396955168769","Earth Alerts","","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","","","","","","en","","","false","","","67671","http://t.co/2GlPNGIOAf","false","false","","","","","91","[http://bit.ly/RnzsBd]","","","","on Planet Earth","0","","","","[earthquake]","-1","EarthAlerts","","","","2012-09-18T07:05:09.000Z","","",""
"6830","25","","","","","282688261","2011-04-15T18:13:56.000Z","Earthquakes from around the world and other news. https://t.co/gLG1crvhZC Follow @dailyrapid Like Us https://t.co/tC9oGbAQY1","10.1417","#USGS M 5.2, 8km W of Nicoya, Costa Rica http://t.co/StHDj3Ll #earthquake","","","","es","","","-85.5263","","","","","false","0","false","","","false","","187","","","","","","","","","","","","false","","","","false","","","false","247223627584520192","Earthquake Updates","","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","","","","","","en","","","false","","","85533","http://t.co/Vj0exTsF6o","true","false","","","","","222","[http://on.esne.ws/PnP0X6]","","","","Global","0","","","","[USGS, earthquake]","-1","seismicupdate","","","","2012-09-16T06:41:20.000Z","","",""
"377","481","","","","","175220578","2010-08-06T00:51:41.000Z","Traductor/Intérprete. Terapeuta. Magallánica de nacimiento, Puertovarina de adopción. Escapé de Stgo. Soñé en Brasil. Azul de corazón. Alma viajera.","","he tomado de todo este 18 pero todavia me falta mi #terremoto !","","","","es","","","","","","","","false","0","false","","","false","","537","","","","","","","","","","","","false","","","","false","","","false","248136350061182976","Claudia Valenzuela","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","","","","es","","","false","","","5104","","true","false","","","","","2","","","","","Chile","0","","","","[terremoto]","-1","cayaa_","","","","2012-09-18T19:08:10.000Z","","",""
"18671","16685","TodoTiempo","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","false","247867448802570240","384914964","2011-10-04T15:11:09.000Z","","","#Temblor♨ M 4.4, 204km SSW of Severo-Kuril'sk, Russia http://t.co/0X93N5xH #Earthquake #Sismo","","","en","in","false","[536561965]","","509874","http://t.co/0gR7rCmkKQ","true","false","false","2","false","","177","false","[http://on.doi.gov/QxLcCh]","27661","San Juan PR","","","0","-1","[[47.2933998, 152.4102936], [47.2933998, 156.5101013], [50.9197998, 156.5101013], [50.9197998, 152.4102936]]","","TodoTiempo","[Temblor, Earthquake, Sismo]","","2012-09-18T01:19:39.000Z","false","","","","false","6033","1691","false","247892153483812866","Lunerica","536561965","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2012-03-25T19:07:44.000Z","49.0617","RoboT del Tiempo Boletines.Noticias,Sismos,Huracanes,Volcanes,Clima,Enlaces y más .","","#Temblor♨ M 4.4, 204km SSW of Severo-Kuril'sk, Russia http://t.co/0X93N5xH #Earthquake #Sismo","es","","RT @TodoTiempo: #Temblor♨ M 4.4, 204km SSW of Severo-Kuril'sk, Russia http://t.co/0X93N5xH #Earthquake #Sismo","false","in","154.7698","210839","","true","false","2","false","false","Северо-Курильский район, Россия","58","[http://on.doi.gov/QxLcCh]","false","","231","Venezuela","0","","","","[Temblor, Earthquake, Sismo]","-1","Lunerica1","","false","","2012-09-18T02:57:49.000Z","","[TodoTiempo]","false"
"38019","3428","","","","","14665593","2008-05-05T22:01:56.000Z","Italy news, views, chat, info, photos, plus a dash of satire from Italy by Italy Chronicles' publisher Alex Roe","","40 under investigation in connection with collapse of buildings during #Modena area #earthquake http://t.co/f4K3a9UJ (IT) #Italy #news","","","","en","","","","","","","","false","0","false","","","false","","4518","","","","","","","","","","","","false","","","","false","","","false","247763803578699776","News from Italy","","<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>","","","","","","en","","","false","","","185073","http://t.co/wbM6OgkuZt","true","false","","","","","932","[http://bit.ly/NxU9xQ]","","","","Milan, Italy","0","","","","[Modena, earthquake, Italy, news]","-1","newsfromitaly","","","","2012-09-17T18:27:48.000Z","","",""
"138","226","Walter Campos","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false","247214677476655104","824529024","2012-09-15T04:22:39.000Z","Vivo entre números e impuestos. Conocer, probar, vivir. 🇨🇷 🇪🇸","","Bueno.Para los que lo sintieron y los que no,recuerden:calma y tener foco a mano. #temblorcr","","","en","es","false","[44762907]","","33887","https://t.co/IhIGBQDkkc","true","false","false","10","false","","168","false","","856","Costa Rica","","","1","-1","","","waltercampos","[temblorcr]","","2012-09-16T06:05:46.000Z","false","","","","false","79379","1428","false","247215809372516353","Javier Arias","44762907","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2009-06-04T23:40:03.000Z","","•Comunicador.
•Autor de Zen&Caos 1 y 2
•TV
•Stand Up Comedy","","Bueno.Para los que lo sintieron y los que no,recuerden:calma y tener foco a mano. #temblorcr","es","","RT @waltercampos: Bueno.Para los que lo sintieron y los que no,recuerden:calma y tener foco a mano. #temblorcr","false","es","","5942","","true","false","10","false","false","","3","","false","","3610","San José, Costa Rica","0","","","","[temblorcr]","-1","javierariass","","false","","2012-09-16T06:10:16.000Z","","[waltercampos]","false"
