"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"345","267","Breaking News","<a href=""http://www.breakingnews.com"" rel=""nofollow"">breakingnews.com</a>","false","389910983525040129","1893536437","2013-09-22T12:01:18.000Z","Freelance Journalist","","7.2 earthquake recorded in the Philippines' Bohol province - @usgs http://t.co/sVOzYsZR5X","","","en","en","false","[6017542, 14505838]","","101411","https://t.co/yjD4mOeepa","true","false","false","557","false","","89695","false","[http://on.doi.gov/19NWekj]","0","NYC, LA, London","","","42","-1","","","BreakingNews","","","2013-10-15T00:29:57.000Z","false","","[USGS]","","false","9565638","549","false","389921286144950272","Exchange Views","6017542","<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","2007-05-13T23:06:45.000Z","","","","7.2 earthquake recorded in the Philippines' Bohol province - @usgs http://t.co/sVOzYsZR5X","en","[14505838]","RT @BreakingNews: 7.2 earthquake recorded in the Philippines' Bohol province - @usgs http://t.co/sVOzYsZR5X","false","en","","17450","http://t.co/c3m5D3caxz","false","false","557","false","false","","3","[http://on.doi.gov/19NWekj]","false","","6","","0","","","","","-1","ExchangeViews","","true","","2013-10-15T01:10:53.000Z","","[BreakingNews, USGS]","false"
"354","377","KING 5 News","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","389914041939795968","569870147","2012-05-03T10:41:46.000Z","House of ilashes is specialized in eyelash extensions & waxing since 2006. Call (206) 522 5277 for any questions. Open 7 days a week!","","#BREAKING 7.2 #earthquake in the Philippines -- http://t.co/cy93Pij4FU Nearest city: Balilihan / Depth: 56 km","","","en","en","false","[19430999]","","276064","https://t.co/DTGVWWcuRo","true","false","false","26","false","","4821","false","[http://earthquake.usgs.gov/earthquakes/eventpage/usb000kdb4#summary]","2779","Seattle, Washington, USA","","","3","-1","","","KING5Seattle","[BREAKING, earthquake]","","2013-10-15T00:42:06.000Z","false","","","","false","653675","7999","false","389922129199644672","House Of iLashes LLC","19430999","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2009-01-24T04:03:33.000Z","","News, weather, traffic & more for Seattle / Western Washington. NBC affiliate. Email newstips@king5.com","","#BREAKING 7.2 #earthquake in the Philippines -- http://t.co/cy93Pij4FU Nearest city: Balilihan / Depth: 56 km","en","","RT @KING5Seattle: #BREAKING 7.2 #earthquake in the Philippines -- http://t.co/cy93Pij4FU Nearest city: Balilihan / Depth: 56 km","false","en","","6246","https://t.co/ieGpvt9Cx0","false","false","26","false","false","","10","[http://earthquake.usgs.gov/earthquakes/eventpage/usb000kdb4#summary]","false","","28127","Seattle WA","0","","","","[BREAKING, earthquake]","-1","Houseofilashes","","true","","2013-10-15T01:14:14.000Z","","[KING5Seattle]","false"
"348","172","Earthquakes Tsunamis","<a href=""http://twitter.com/BigEarthquakes/earthquakes"" rel=""nofollow"">Earthquakes</a>","false","389909407464574976","256944866","2011-02-24T11:44:15.000Z","","","7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http://t.co/ImviyP8h7k","","","en","en","false","[83972205]","","27818","https://t.co/dsTBiWZEdB","true","false","false","1357","false","","10711","false","[http://j.mp/165Wv1g]","1568","Worldwide","","","121","-1","","","NewEarthquake","","","2013-10-15T00:23:41.000Z","false","","","","false","901923","7","false","389910418698678275","Jose Galay III","83972205","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","2009-10-21T01:27:10.000Z","","World earthquakes magnitude 5+ and tsunami warnings. Avatar shows last earthquake. Sources: USGS NOAA GEOFON. #earthquake","","7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http://t.co/ImviyP8h7k","en","","RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http…","false","en","","32085","","false","false","1357","false","false","","4","","false","","0","","0","","","","","-1","jeffgalay","","false","","2013-10-15T00:27:42.000Z","","[NewEarthquake]","false"
"70","82","","","","","989301871","2012-12-04T18:17:27.000Z","Sheryl. 21","10.2512195","Scarryyyyy. :( #earthquake #cebu","","","","en","","","123.8011414","","","","","false","0","false","","","false","","30","","","","","","","","","","","","false","","","","false","","","false","389921109979570176","Sheryl Geonzon","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","","","","en","","","false","","","815","https://t.co/OGpWrhyKxc","true","false","","","","","1","","","","","Cebu, Philippines","0","","","","[earthquake, cebu]","-1","shemshemii","","","","2013-10-15T01:10:11.000Z","","",""
"173","229","","","","","987669788","2012-12-03T23:55:26.000Z","","","PLEASE PRAY FOR OUR MISSIONARY FRIENDS IN BOHOL, PHILIPPINES

 CALAPE BOHOL UDATE:

Hit hard by earthquake at 7.2... http://t.co/6BssFcHaX4","","","","en","","","","","","","","false","0","false","","","false","","32","","","","","","","","","","","","false","","","","false","","","false","389926784877494272","Nick and Debbie Boni","","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","","","","","","en","","","false","","","1114","","false","false","","","","","1","[http://fb.me/6GOCtI3tY]","","","","Tulsa, OK","0","","","","","-1","NickBoni","","","","2013-10-15T01:32:44.000Z","","",""
"13","9","","","","","554008653","2012-04-14T23:57:26.000Z","This account shows the quakes between M7 and M8. Follow @shakemaps for general earthquake-info.","","#earthquake M7.2: Bohol, Philippines http://t.co/mcLjuPxXBX","","","","und","","","","","","","","false","0","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","389924092130107392","Shakemaps M7 - M8","","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","","","","","","nl","","","false","","","31","http://t.co/QleIBFNEle","false","false","","","","","0","[http://ow.ly/2AJn7C]","","","","","0","","","","[earthquake]","-1","ShakemapsM7","","","","2013-10-15T01:22:02.000Z","","",""
"1332","599","JAMICH","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","389918587864895488","420236926","2011-11-24T10:56:27.000Z","fb/sc/ig: yhanabalajadia","","Magnitude 7.2 #earthquake in Bohol :( Pagdasal natin lahat ng apektado. Sana maging safe ang lahat. #PrayForBohol #Philippines","","","en","tl","false","[316296994]","","39054","https://t.co/BoMtJCgytS","true","false","false","165","false","","549","false","","693","YouTube Phenom of 2012-2014 ","","","54","-1","","","ilovejamich","[earthquake, PrayForBohol, Philippines]","","2013-10-15T01:00:10.000Z","false","","","","false","1048790","189","false","389923253285707776","Yhana Balajadia","316296994","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2011-06-13T07:16:12.000Z","","Jamvhille Sebastian and Paolinne Michelle Liggayu, better known as the real life couple JAMICH ♥ https://t.co/kJL1bGgqB1","","Magnitude 7.2 #earthquake in Bohol :( Pagdasal natin lahat ng apektado. Sana maging safe ang lahat. #PrayForBohol #Philippines","en","","RT @ilovejamich: Magnitude 7.2 #earthquake in Bohol :( Pagdasal natin lahat ng apektado. Sana maging safe ang lahat. #PrayForBohol #Philipp…","false","tl","","22917","https://t.co/YS3mhU7LLX","true","false","165","false","false","","1","","false","","737","Lipa City","0","","","","[earthquake, PrayForBohol]","-1","yhana_balajadia","","false","","2013-10-15T01:18:42.000Z","","[ilovejamich]","false"
"177","737","MJ Felipe","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false","389910535073832960","993180541","2012-12-06T14:25:01.000Z","","","According to USGS: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran)","","","en","en","false","[48668434]","","41211","https://t.co/HjJou247VN","true","false","false","56","false","","264","false","","13","Manila, PH ","","","6","-1","","","mjfelipe","","","2013-10-15T00:28:10.000Z","false","","","","false","357233","632","false","389912020943781888","Khim Guidotti","48668434","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2009-06-19T10:21:23.000Z","","Entertainment Journalist for @ABSCBNNews | Anchor for @DZMMTeleradyo | Writer for The Bottomline with Boy Abunda. ABSCBN Broadcasting Network","","According to USGS: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran)","en","","RT @mjfelipe: According to USGS: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran)","false","en","","417","","true","false","56","false","false","","0","","false","","692","","0","","","","","-1","KhimGuidotti","","false","","2013-10-15T00:34:04.000Z","","[mjfelipe]","false"
"19","281","Earthquakes Tsunamis","<a href=""http://twitter.com/BigEarthquakes/earthquakes"" rel=""nofollow"">Earthquakes</a>","false","389909407464574976","1103319966","2013-01-19T10:09:45.000Z","La Isla Bonita","","7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http://t.co/ImviyP8h7k","","","en","en","false","[83972205]","","27818","https://t.co/dsTBiWZEdB","true","false","false","1357","false","","10711","false","[http://j.mp/165Wv1g]","3","Worldwide","","","121","-1","","","NewEarthquake","","","2013-10-15T00:23:41.000Z","false","","","","false","901923","7","false","389911173665001472","April Joy","83972205","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2009-10-21T01:27:10.000Z","","World earthquakes magnitude 5+ and tsunami warnings. Avatar shows last earthquake. Sources: USGS NOAA GEOFON. #earthquake","","7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http://t.co/ImviyP8h7k","en","","RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http…","false","en","","1991","","true","false","1357","false","false","","1","","false","","0","Philippines","0","","","","","-1","aprilnaranja","","false","","2013-10-15T00:30:42.000Z","","[NewEarthquake]","false"
"14688","64","","","","","1599050960","2013-07-16T18:54:41.000Z","Breaking news alerts and updates from Al Jazeera America. For news, features and analysis follow @AJAM","","National Disaster Agency: 4 people killed in building collapse in Cebu after Philippines quake - @Reuters","","","","en","","[1652541]","","","","","","false","2","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","389920120119635969","AJAM Live","","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","","","","","","en","","","false","","","12482","http://t.co/waWklyZHcT","false","false","","","","","677","","","","","US","0","","","","","-1","ajamlive","","","","2013-10-15T01:06:15.000Z","","[Reuters]",""
