"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"1124","1474","BorisAlonso","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false","243359198002429952","8837322","2007-09-12T17:09:48.000Z","Live, Love, Travel! 🐱🌺","","#temblorcr se sintió muy muy fuerte ! #semesalioelcerote","","","es","es","false","","","49042","https://t.co/tskIpcjT0n","true","false","false","3","false","","111","false","","1700","Liberiano de Corazón","","","0","-1","","","BorisAlonsoCR","[temblorcr, semesalioelcerote]","","2012-09-05T14:45:28.000Z","false","","","","false","20227","1302","false","243359604032020480","Adrianne Serrano","21824060","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2009-02-25T02:03:23.000Z","","Un señor que se cree Milenial. Verified Account #adidasrunning #EnLasTenisdeBoris","","#temblorcr se sintió muy muy fuerte ! #semesalioelcerote","es","","RT @3U22: #temblorcr se sintió muy muy fuerte ! #semesalioelcerote","false","es","","6045","https://t.co/K6xiFR3fiJ","true","false","3","false","false","","42","","false","","10911","Costa Rica","0","","","","[temblorcr, semesalioelcerote]","-1","Ladybug77","","false","","2012-09-05T14:47:05.000Z","","","false"
"365","335","","","","","245506917","2011-01-31T21:15:37.000Z","Editor de Deportes del diario Hoy en Chicago","","#Guardado dice que #México tiene que cuidarse de las jugadas a balón parado de #CostaRica http://t.co/w3m222sP vía @vivelohoy","","","","es","","","","","","","","false","0","false","","","false","","15","","","","","","","","","","","","false","","","","false","","","false","243077922947231744","Jose L.Sanchez Pando","","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","","","","","","es","","","false","","","11362","http://t.co/C3Kpkw6mzP","false","false","","","","","50","[http://www.vivelohoy.com/deportes/8129022/guardado-debemos-cuidarnos-de-las-jugadas-con-pelota-quieta-de-costa-rica]","","","","Chicago, IL","0","","","","[Guardado, México, CostaRica]","-1","Betis64","","","","2012-09-04T20:07:47.000Z","","",""
"1862","929","","","","","32955214","2009-04-18T17:47:15.000Z","Blog de actualidad y noticias","","Argentina recibió a sus internacionales de cara al partido ante Paraguay http://t.co/GLyAl3JE  #costarica","","","","es","","","","","","","","false","0","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","243155538555334656","Blogtico.com","","<a href=""http://www.blogtico.com"" rel=""nofollow"">blogtico</a>","","","","","","es","","","false","","","44345","http://t.co/FAFNmGyvJ9","false","false","","","","","46","[http://goo.gl/bExxG]","","","","Costa Rica","0","","","","[costarica]","-1","blogtico","","","","2012-09-05T01:16:12.000Z","","",""
"2788","2710","Breaking News","<a href=""http://www.breakingnews.com"" rel=""nofollow"">breakingnews.com</a>","false","243361016438743040","44159626","2009-06-02T17:15:30.000Z","Caveman [F*Ck Average]","","Magnitude 7.9 earthquake strikes off the coast of Costa Rica - USGS","","","en","en","false","[6017542]","","101465","https://t.co/yjD4mOeepa","true","false","false","913","false","","89682","false","","11152","NYC, LA, London","","","13","-1","","","BreakingNews","","","2012-09-05T14:52:42.000Z","false","","","","false","9564922","549","false","243361759912681472","Pulgo 🇵🇷","6017542","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","2007-05-13T23:06:45.000Z","","","","Magnitude 7.9 earthquake strikes off the coast of Costa Rica - USGS","en","","RT @BreakingNews: Magnitude 7.9 earthquake strikes off the coast of Costa Rica - USGS","false","en","","101956","","true","false","913","false","false","","25","","false","","6","New York, USA","0","","","","","-1","don_pulgo","","true","","2012-09-05T14:55:39.000Z","","[BreakingNews]","false"
"33","5","","","","","317154043","2011-06-14T14:29:59.000Z","","","EarthquakeCalifornia Minor earthquake near Sparta, Ill., felt in Metro East - http://t.co/fuWMRvIW http://t.co/W826GJrH #earthquake","","","","en","","","","","","","","false","0","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","243354147234123777","Anna Smith","","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","","","","","","en","","","false","","","1219214","http://t.co/n0LTmsrgJ1","false","false","","","","","17","[http://STLtoday.com, http://adf.ly/CaWhd]","","","","Los Angeles","0","","","","[earthquake]","-1","marysmith1388","","","","2012-09-05T14:25:24.000Z","","",""
"708","694","","","","","71139004","2009-09-03T01:43:57.000Z","Cocinar y el fútbol son mis pasiones 👩🏼‍🍳⚽️// 🔟en @DinámicasFC//📸melaniasoto","","En mi Ksa se salió el agua de la pecera y se cayeron adornos #temblorcr","","","","es","","","","","","","","false","0","false","","","false","","4015","","","","","","","","","","","","false","","","","false","","","false","243361831194857472","Melania Soto","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","","","es","","","false","","","7608","","true","false","","","","","5","","","","","Heredia, Costa Rica","0","","","","[temblorcr]","-1","Melaniasoto","","","","2012-09-05T14:55:56.000Z","","",""
"2546","2","","","","","96155276","2009-12-11T16:13:59.000Z","日本の地震と世界の地震情報をRSSを元に自動配信しています。一部の津波情報も配信されます。日本は震度1から、世界はマグニチュード5以上を対象としています。","","地震情報 M 5.1, Taiwan region http://t.co/8xtmJmmB #earthquake","","","","ja","","","","","","","","false","1","false","","","false","","2","","","","","","","","","","","","false","","","","false","","","false","243083019055927296","地震津波情報","","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","","","","","","ja","","","false","","","31642","","false","false","","","","","254","[http://dlvr.it/25yWVN]","","","","","0","","","","[earthquake]","-1","etwinfo","","","","2012-09-04T20:28:02.000Z","","",""
"737","505","Guillermo Ruiz","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","243361414113280000","366152574","2011-09-01T17:24:37.000Z","Periodista, Locutora, Esteticista y Maquillista. Amante del helado","","Terremoto en Costa Rica: RT @nacion

Según USGS el sismo habría sido de 7,9 grados con epicentro en #Guanacaste","","","es","es","false","[37767363, 18906662]","","65356","https://t.co/MMWpDrKDBe","true","false","false","4","false","","87","false","","274","Ciudad de Panamá","","","0","-1","","","GuillermoARuiz","[Guanacaste]","","2012-09-05T14:54:17.000Z","false","","[nacion]","","false","7752","1412","false","243362774934228992","Joseline Klee","37767363","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","2009-05-04T21:39:09.000Z","","Ingeniero | Asesor Estrategia y Comunicación Política | Presentador de Radio y TV: @RadioPanama 94.5 FM 5-7pm L-V | @BancaAlDia Canal 28 Cable Onda 10am Domingo","","Terremoto en Costa Rica: RT @nacion

Según USGS el sismo habría sido de 7,9 grados con epicentro en #Guanacaste","es","[18906662]","RT @GuillermoARuiz: Terremoto en Costa Rica: RT @nacion

Según USGS el sismo habría sido de 7,9 grados con epicentro en #Guanacaste","false","es","","17396","","true","false","4","false","false","","4","","false","","143","Panamá","0","","","","[Guanacaste]","-1","JoselineKlee","","false","","2012-09-05T14:59:41.000Z","","[GuillermoARuiz, nacion]","false"
"669","2341","Breaking News","<a href=""http://www.breakingnews.com"" rel=""nofollow"">breakingnews.com</a>","false","243361664907501568","51475208","2009-06-27T16:02:18.000Z","EVENTING🐴 | Pantheos. Security, Entrepreneurship, Social Development & Environment. @Disney, @StarWars, @Patriots & @ManUtd. | NYC | #ROT - YM","","Caribbean-wide tsunami watch in effect after Costa Rican quake, Pacific Tsunami Warning Center says - @Reuters","","","en","en","false","[6017542, 1652541]","","101465","https://t.co/yjD4mOeepa","true","false","false","581","false","","89682","false","","4142","NYC, LA, London","","","10","-1","","","BreakingNews","","","2012-09-05T14:55:17.000Z","false","","[Reuters]","","false","9564922","549","false","243362640708108289","Riccardo Razalas","6017542","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2007-05-13T23:06:45.000Z","","","","Caribbean-wide tsunami watch in effect after Costa Rican quake, Pacific Tsunami Warning Center says - @Reuters","en","[1652541]","RT @BreakingNews: Caribbean-wide tsunami watch in effect after Costa Rican quake, Pacific Tsunami Warning Center says - @Reuters","false","en","","34005","https://t.co/jHxCG0XmJl","true","false","581","false","false","","12","","false","","6","El Salvador - Latinoamérica","0","","","","","-1","ZARMORTO","","true","","2012-09-05T14:59:09.000Z","","[BreakingNews, Reuters]","false"
"199","467","","","","","57253777","2009-07-16T05:30:50.000Z","En proceso....","","""@elsalvadorcom: Según USGS, sismo de 7.9 se sintió hace unos minutos (8:42 am) en #CostaRica con epicentro en Guanacaste.""","","","","es","","[81986272]","","","","","","false","0","false","","","false","","23","","","","","","","","","","","","false","","","","false","","","false","243362942718992384","♥Michy Guardado♥","","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","","","","","","es","","","false","","","4302","","true","false","","","","","0","","","","","El Salvador","0","","","","[CostaRica]","-1","michyguardado","","","","2012-09-05T15:00:21.000Z","","[elsalvadorcom]",""
