"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"20353","2046","Xunta de Galicia","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","false","360133352919023616","167758418","2010-07-17T12:30:31.000Z","Periodista. Director del @Vialliure de @RAC1","","En unos minutos comenzaremos a ofrecer información OFICIAL sobre el descarrilamiento del tren en Santiago de Compostela.","","","es","es","false","[176767978]","","20233","http://t.co/LrXBJ0ECRs","false","false","false","213","false","","784","false","","8209","Galicia","","","10","-1","","","Xunta","","","2013-07-24T20:24:16.000Z","false","","","","false","150064","129","false","360138363904335873","Xavi Bundó","176767978","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","2010-08-10T11:34:49.000Z","","Twitter oficial da Xunta de Galicia","","En unos minutos comenzaremos a ofrecer información OFICIAL sobre el descarrilamiento del tren en Santiago de Compostela.","ca","","RT @Xunta: En unos minutos comenzaremos a ofrecer información OFICIAL sobre el descarrilamiento del tren en Santiago de Compostela.","false","es","","20746","","false","false","213","false","false","","264","","false","","155","Barcelona | Catalunya","0","","","","","-1","xbundo","","true","","2013-07-24T20:44:11.000Z","","[Xunta]","false"
"48","212","EL MUNDO","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","360122400202952704","401416257","2011-10-30T14:25:21.000Z","","","ÚLTIMA HORA: Al menos seis muertos tras descarrilar un tren de pasajeros en Santiago de Compostela http://t.co/aSbRHO0vUO vía @elmundoes","","","es","es","false","[14436030]","","186962","https://t.co/CmlwMrjZkJ","false","false","false","298","false","","29109","false","[http://mun.do/1651fkX]","707","España","","","4","-1","","","elmundoes","","","2013-07-24T19:40:45.000Z","false","","[elmundoes]","","false","3153278","1352","false","360127806836969473","Ana GV","14436030","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2008-04-18T18:29:25.000Z","","Cuenta oficial del diario EL MUNDO - You Tube: https://t.co/jzPBZj90EC. (📷 La Policía detiene a Eduardo Zaplana / Biel Aliño)","","ÚLTIMA HORA: Al menos seis muertos tras descarrilar un tren de pasajeros en Santiago de Compostela http://t.co/aSbRHO0vUO vía @elmundoes","es","[14436030]","RT @elmundoes: ÚLTIMA HORA: Al menos seis muertos tras descarrilar un tren de pasajeros en Santiago de Compostela http://t.co/aSbRHO0vUO ví…","false","es","","1346","","true","false","298","false","false","","4","[http://mun.do/1651fkX]","false","","2670","","0","","","","","-1","arobsant","","true","","2013-07-24T20:02:14.000Z","","[elmundoes]","false"
"232","133","Aeronoticiario SCQ","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","false","360134244187643905","319664390","2011-06-18T14:27:18.000Z","","","Se recomienda donar sangre de todos los grupos tras el descarrilamiento de un tren Santiago de Compostela con fallecidos y heridos","","","es","es","false","[222266138]","","45860","https://t.co/bX33nC092m","true","false","false","46","false","","258","false","","2632","Santiago de Compostela","","","0","-1","","","infoSCQ","","","2013-07-24T20:27:49.000Z","false","","","","false","12562","1270","false","360134370947907585","Betiña 💫","222266138","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2010-12-02T22:42:32.000Z","","Portal de información independiente para conocer la actualidad del aeropuerto de Santiago de Compostela al minuto! ¿Nos acompañas? ✈️","","Se recomienda donar sangre de todos los grupos tras el descarrilamiento de un tren Santiago de Compostela con fallecidos y heridos","es","","RT @infoSCQ: Se recomienda donar sangre de todos los grupos tras el descarrilamiento de un tren Santiago de Compostela con fallecidos y her…","false","es","","17726","https://t.co/nprSL8EuHf","false","false","46","false","false","","1","","false","","22207","Santiago de Compostela, España","0","","","","","-1","BetiSantiago29","","false","","2013-07-24T20:28:19.000Z","","[infoSCQ]","false"
"247","402","¡Jódete, mamón!","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","360129354782613505","238523530","2011-01-15T11:02:42.000Z","","","Hay un grave accidente de tren y ningún canal de TV para su programación para informar. Esto es España.","","","es","es","false","[572805064]","","4229","","false","false","false","38","false","","35","false","","169","","","","4","-1","","","Jodete_Mamon","","","2013-07-24T20:08:23.000Z","false","","","","false","5838","130","false","360133615952203776","Víctor MB","572805064","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2012-05-06T16:47:10.000Z","","Madrugo para vaguear durante más horas.","","Hay un grave accidente de tren y ningún canal de TV para su programación para informar. Esto es España.","es","","RT @Jodete_Mamon: Hay un grave accidente de tren y ningún canal de TV para su programación para informar. Esto es España.","false","es","","12942","","true","false","38","false","false","","1","","false","","2575","","0","","","","","-1","vicmebo","","false","","2013-07-24T20:25:19.000Z","","[Jodete_Mamon]","false"
"627","748","Antena3Noticias","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","360128314712662016","56498994","2009-07-13T21:29:36.000Z","Mountain biker. 6 veces superado el reto de la #integralDeLaCabra. Tres #caminoDeSantiago. Crucé España en bici #deMurciaASantiago #openstreetmap","","Al menos 9 muertos y 50 heridos en el accidente de tren de Santiago de Compostela donde han descarrilado 13 vagones http://t.co/FiRsP6rMrQ","","","es","es","false","[145992645]","","201270","https://t.co/VJ14cAMYrn","true","false","false","560","false","","7889","false","[http://www.antena3.com/noticias/sociedad/descarrila-tren-pasajeros-santiago_2013072400279.html]","4391","","","","19","-1","","","A3Noticias","","","2013-07-24T20:04:15.000Z","false","","","","false","1703427","399","false","360129199350091777","picoesquina","145992645","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2010-05-20T10:33:50.000Z","","Toda la actualidad en https://t.co/VJ14cAMYrn","","Al menos 9 muertos y 50 heridos en el accidente de tren de Santiago de Compostela donde han descarrilado 13 vagones http://t.co/FiRsP6rMrQ","es","","RT @A3Noticias: Al menos 9 muertos y 50 heridos en el accidente de tren de Santiago de Compostela donde han descarrilado 13 vagones http://…","false","es","","22110","https://t.co/mmvCddFAAv","true","false","560","false","false","","31","","false","","14","Murcia No-typical","0","","","","","-1","picoesquina","","true","","2013-07-24T20:07:46.000Z","","[A3Noticias]","false"
"3365","4874","RT en Español","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","false","360135523290988544","159562543","2010-06-25T18:42:21.000Z","¡me encanta la vida y los que saben vivirla!
#sigueméytesigo","","Teléfono para atención de familiares afectados por el descarrilamiento de tren en #Santiago de Compostela 981551100  http://t.co/stROs4jUoZ","","","es","es","false","[100731315]","","466421","http://t.co/NvQkmzIWCT","false","false","false","113","false","","11112","false","[http://es.rt.com/qgY]","32973","","","","6","-1","","","ActualidadRT","[Santiago]","","2013-07-24T20:32:54.000Z","false","","","","false","2909114","78","false","360137080464084994","kapicua","100731315","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2009-12-31T09:33:16.000Z","","El primer canal de TV ruso en español con alcance mundial. Les brindamos las noticias que realmente importan. Lo más relevante del panorama internacional, en RT","","Teléfono para atención de familiares afectados por el descarrilamiento de tren en #Santiago de Compostela 981551100  http://t.co/stROs4jUoZ","es","","RT @ActualidadRT: Teléfono para atención de familiares afectados por el descarrilamiento de tren en #Santiago de Compostela 981551100  http…","false","es","","59989","","true","false","113","false","false","","43","","false","","47","alicante","0","","","","[Santiago]","-1","msolroqui","","true","","2013-07-24T20:39:05.000Z","","[ActualidadRT]","false"
"3506","3105","","","","","1493688769","2013-06-08T19:02:27.000Z","Una nueva forma de conectar con la televisión.   CONTACTO: televisivostv@gmail.com","","Trágico accidente ferroviario cerca de Santiago de Compostela, al producirse el descarrilamiento de un tren Alvia con dirección a Ferrol","","","","es","","","","","","","","false","0","false","","","false","","4","","","","","","","","","","","","false","","","","false","","","false","360141136343482368","Televisivos TV","","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","","","","","","es","","","false","","","13308","https://t.co/yXCmT0Bg5E","false","false","","","","","32","","","","","","0","","","","","-1","TelevisivosTV","","","","2013-07-24T20:55:12.000Z","","",""
"612","814","EL PAÍS Galicia","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","360139465781559296","886908032","2012-10-17T14:14:05.000Z","BC.","","Con 24 víctimas confirmadas por fuentes oficiales, se trata del accidente de tren más grave en 40 años en España. http://t.co/x1RBvHog9a","","","es","es","false","[460490011]","","10455","http://t.co/kNLDQ9PqtU","true","false","false","222","false","","845","false","[http://ccaa.elpais.com/ccaa/2013/07/24/galicia/1374693125_734192.html]","2593","","","","5","-1","","","ELPAISGalicia","","","2013-07-24T20:48:34.000Z","false","","","","false","126674","301","false","360140553356185603","Pablo🍁","460490011","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2012-01-10T20:28:13.000Z","","La actualidad de Galicia desde la redacción de EL PAÍS.","","Con 24 víctimas confirmadas por fuentes oficiales, se trata del accidente de tren más grave en 40 años en España. http://t.co/x1RBvHog9a","es","","RT @ELPAISGalicia: Con 24 víctimas confirmadas por fuentes oficiales, se trata del accidente de tren más grave en 40 años en España. http:/…","false","es","","10831","","true","false","222","false","false","","0","","false","","8","Cuntis","0","","","","","-1","PabloMatos22","","true","","2013-07-24T20:52:53.000Z","","[ELPAISGalicia]","false"
"580","1105","NewsBreaker","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","false","360129679212040192","618262002","2012-06-25T15:24:24.000Z","These are only my opinions. You should see my convictions.   - - V - -  I can't force people to accept the truth, but I can expose them to it.","","BREAKING PIC: 4 dead after train derails in Spain; pic from @alenperz appears to show bodies: http://t.co/EZaGsuVRmk http://t.co/tdVCO3gvwL","","","en","en","false","[774393817, 357548154]","","64595","http://t.co/dEOV3Oauy0","false","false","false","20","false","","2524","false","[http://reut.rs/18AbsGm]","3019","","","","1","-1","","","NewsBreaker","","[http://pbs.twimg.com/media/BP9wCQMCUAAswYM.png]","2013-07-24T20:09:41.000Z","false","","[AlenPerz]","","false","83873","4968","false","360134064734347264","eV3y™","774393817","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","2012-08-22T20:02:43.000Z","","@OraTV's @NewsBreaker team delivers #breakingnews and trending buzz in 45 seconds. Tips: newsbreaker@ora.tv","","BREAKING PIC: 4 dead after train derails in Spain; pic from @alenperz appears to show bodies: http://t.co/EZaGsuVRmk http://t.co/tdVCO3gvwL","en","[357548154]","RT @NewsBreaker: BREAKING PIC: 4 dead after train derails in Spain; pic from @alenperz appears to show bodies: http://t.co/EZaGsuVRmk http:…","false","en","","14552","","true","false","20","false","false","","3","[http://reut.rs/18AbsGm]","false","[photo]","3385","eV3ryvvhere.","0","","","","","-1","eV3y_17","","true","","2013-07-24T20:27:06.000Z","","[NewsBreaker, AlenPerz]","false"
"257","222","Allan","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","false","360140791982731264","847671547","2012-09-26T16:05:47.000Z","Cc. Politicas UC3M","","#TragediaSantiago: 30 personas fallecidas y más heridas al descarrilarse un tren en España. ¡Mucha fuerza! http://t.co/sHi0N1x15b","","","en","es","false","[36405503]","","94749","https://t.co/KyGz4DNI86","true","false","false","80","false","","230","false","","1379","Mexico City","","","9","-1","","","allan05","[TragediaSantiago]","[http://pbs.twimg.com/media/BP96JGfCMAAjLX3.jpg]","2013-07-24T20:53:50.000Z","false","","","","false","4010","1354","false","360144848323477505","Miguel López Crego","36405503","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2009-04-29T16:51:04.000Z","","A Social Media Man; Inceptionist, Storyteller, Marketing Technology, Scavenger of New Music, Part-time Singer, Time Travel Movies, NFL & @SocialFMPodcast’s host","","#TragediaSantiago: 30 personas fallecidas y más heridas al descarrilarse un tren en España. ¡Mucha fuerza! http://t.co/sHi0N1x15b","es","","RT @allan05: #TragediaSantiago: 30 personas fallecidas y más heridas al descarrilarse un tren en España. ¡Mucha fuerza! http://t.co/sHi0N1x…","false","es","","5534","https://t.co/VokpWXZFH9","true","false","80","false","false","","3","","false","[photo]","9488","Instagram: miguel.l.crego","0","","","","[TragediaSantiago]","-1","miguelaezlc","","false","","2013-07-24T21:09:57.000Z","","[allan05]","false"
