"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"5039","3463","Global Calgary","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","347730295027539969","26174857","2009-03-24T04:09:27.000Z","|Executive Director, @KidsUpFrontCalg| @SAIT 2017 Outstanding Young Alumna| Hussar, Alberta Girl| Eternal Optimist| Mrs.Nash| #KUFkrew","","If you are in #Canmore and need help, an emergency line has been set up. Pls call 403-678-1551. #abstorm #abflood","","","en","en","false","[18228708]","","126612","http://t.co/aoaPoeQGaz","true","false","false","51","false","","1234","false","","50938","Calgary, Alberta, Canada","","","5","-1","","","GlobalCalgary","[Canmore, abstorm, abflood]","","2013-06-20T14:58:57.000Z","false","","","","false","178533","653","false","347766337344503808","Nicky Nash","18228708","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2008-12-18T23:31:52.000Z","","Your source for breaking news from #yyc and beyond. Story idea? Email calgary@globalnews.ca","","If you are in #Canmore and need help, an emergency line has been set up. Pls call 403-678-1551. #abstorm #abflood","en","","RT @GlobalCalgary: If you are in #Canmore and need help, an emergency line has been set up. Pls call 403-678-1551. #abstorm #abflood","false","en","","58628","https://t.co/4sjH2zeXh4","true","false","51","false","false","","237","","false","","1002","YYC","0","","","","[Canmore, abstorm, abflood]","-1","thenickynash","","true","","2013-06-20T17:22:10.000Z","","[GlobalCalgary]","false"
"58","282","The Weather Network","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","347894450707628032","1183839343","2013-02-16T03:02:35.000Z","Love camping, boating scifi NASCAR racing and travel","","RT @margovisser BOW CRESCENT FLOODING!! View from Silver Springs hill. #yycflood #bowness #calgary http://t.co/cJiCjvkO3c","","","en","en","false","[18638090, 79838758]","","101816","https://t.co/WjwerxxaYT","true","false","false","52","false","","3509","false","","254","Canada","","","9","-1","","","weathernetwork","[yycflood, bowness, calgary]","[http://pbs.twimg.com/media/BNP05SPCQAEJkBE.jpg]","2013-06-21T01:51:15.000Z","false","","[margovisser]","","false","1554711","1392","false","347920062780407811","Larry Sceviour","18638090","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2009-01-05T17:35:35.000Z","","Canada's #1 source for weather forecasts, news and information. Upload your #UnpredictableVideos for a chance to WIN $500: https://t.co/7gjQfjeQTF","","RT @margovisser BOW CRESCENT FLOODING!! View from Silver Springs hill. #yycflood #bowness #calgary http://t.co/cJiCjvkO3c","en","[79838758]","RT @weathernetwork: RT @margovisser BOW CRESCENT FLOODING!! View from Silver Springs hill. #yycflood #bowness #calgary http://t.co/cJiCjvkO…","false","en","","1133","","true","false","52","false","false","","2","","false","[photo]","12316","Calgary, Alberta","0","","","","[yycflood, bowness, calgary]","-1","travelfast53","","true","","2013-06-21T03:33:01.000Z","","[weathernetwork, margovisser]","false"
"297","573","","","","","17116451","2008-11-02T16:46:33.000Z","I believe in design for the greater good. My tweets are my own.","","#Abflood #cochrane #hwy22 wow! #yyc #flood #ab https://t.co/kvpJ9sg5lJ","","","","und","","","","","","","","false","0","false","","","false","","382","","","","","","","","","","","","false","","","","false","","","false","347916707328831488","Michelle Fernandes","","<a href=""http://vine.co"" rel=""nofollow"">Vine - Make a Scene</a>","","","","","","en","","","false","","","1302","","true","false","","","","","7","[https://vine.co/v/hu5BUvAlJUH]","","","","","0","","","","[Abflood, cochrane, hwy22, yyc, flood, ab]","-1","ThatMFernandes","","","","2013-06-21T03:19:41.000Z","","",""
"441","847","Downtown Calgary","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","false","347937914447073282","189042244","2010-09-10T06:34:18.000Z","Observer; Animal Rights;","","Please be safe tonight and please work from home on Friday due to road closures w#yycflood http://t.co/G2eLGaAOgQ","","","en","en","false","[50401603]","","20919","https://t.co/N2Qc6HdXHz","true","false","false","25","false","","824","false","[http://ow.ly/mff3Q]","295","Calgary, Alberta","","","0","-1","","","downtowncalgary","","","2013-06-21T04:43:57.000Z","false","","","","false","93454","7605","false","347944733642981377","Shantanu","50401603","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","2009-06-24T19:10:27.000Z","","Need the latest news about Downtown Calgary? Need to promote an Event? Have an idea for an article? Get in touch!","","Please be safe tonight and please work from home on Friday due to road closures w#yycflood http://t.co/G2eLGaAOgQ","en","","RT @downtowncalgary: Please be safe tonight and please work from home on Friday due to road closures w#yycflood http://t.co/G2eLGaAOgQ","false","en","","6577","","false","false","25","false","false","","14","[http://ow.ly/mff3Q]","false","","4731","Calgary","0","","","","","-1","ShaaanM","","true","","2013-06-21T05:11:03.000Z","","[downtowncalgary]","false"
"2849","888","kait kucy","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","347872513793085441","77328097","2009-09-25T22:31:11.000Z","Tweets from the Alberta Magazine Publishers Association (AMPA) about the magazine publishing industry in Alberta. Flippin' sweet.","","emergency alert just came on the radio & tv. Bowness & Sunnyside on are on overland flooding alert. #yycflood #yyc","","","en","en","false","[790223273820774400]","","32623","https://t.co/0BSK0a65rO","true","false","false","1","false","","180","false","","1906","Calgary, Canada","","","0","-1","","","kaitkucy","[yycflood, yyc]","","2013-06-21T00:24:05.000Z","false","","","","false","4364","1115","false","347872579039662080","Alberta Magazine Publishers Association","34156225","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2009-04-22T02:55:02.000Z","","lifestyle writer. blogger @archivesofcool. co-founder of @nextbigthingca. mama to Jack. photo-taker. eternal optimist. #cheapthrills #yyc","","emergency alert just came on the radio & tv. Bowness & Sunnyside on are on overland flooding alert. #yycflood #yyc","en","","RT @yuppielove: emergency alert just came on the radio & tv. Bowness & Sunnyside on are on overland flooding alert. #yycflood #yyc","false","en","","9105","https://t.co/PmjaWwEFoQ","false","false","1","false","false","","135","","false","","19425","Calgary, AB","0","","","","[yycflood, yyc]","-1","albertamags","","true","","2013-06-21T00:24:20.000Z","","[YuppieLove]","false"
"2553","992","","","","","19452532","2009-01-24T16:37:16.000Z","Lover of food, words, wine, proper grammar. Editor-in-chief @huffpostcanada. I tweet about journalism, parenting, my lunch.","","RT @CBCMeg: Our @CBCCalgary building is in evacuation zone. Staff leaving now. We still have reporters & shooters across SAb & #yyc #abflood","","","","en","","[138798346, 18999809]","","","","","","false","2","false","","","false","","247","","","","","","","","","","","","true","","","","false","","","false","347901683310944256","Andree Lau","","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","","","","","","en","","","false","","","11447","https://t.co/bpp8AZ4LFn","true","false","","","","","145","","","","","Toronto","0","","","","[yyc, abflood]","-1","alau2","","","","2013-06-21T02:19:59.000Z","","[CBCMeg, CBCCalgary]",""
"9112","969","","","","","149126628","2010-05-28T13:46:49.000Z","Meteorologist, @weathernetwork. YorkU Alum. Storm Chaser. Dog Enthusiast.","","RT @TarzanDan: If you are in #Canmore & need help, an emergency line has been set up. Please call 403-678-1551 #abstorm #abflood","","","","en","","[258983311]","","","","","","false","6","false","","","false","","4431","","","","","","","","","","","","true","","","","false","","","false","347819248455913473","Dayna Vettese","","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","","","","","","en","","","false","","","31927","https://t.co/WjwerxxaYT","true","false","","","","","376","","","","","Ontario, Canada","0","","","","[Canmore, abstorm, abflood]","-1","daynavettese","","","","2013-06-20T20:52:25.000Z","","[TarzanDan]",""
"956","1745","Calgary Police","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","347941694668435456","425448885","2011-12-01T01:01:23.000Z","Diverse Learning Consultant ~ Behaviour with CCSD, Calgary.","","And also evacuate this area of Bowness. #yycflood 2/2 http://t.co/hGZVoJaLJD","","","en","en","false","[19041310]","","29351","https://t.co/OHbtNgWuIJ","false","false","false","22","false","","1159","false","","1126","Calgary, AB, Canada","[photo]","","3","-1","","","CalgaryPolice","[yycflood]","[http://pbs.twimg.com/media/BNQjILmCcAAP5Jf.jpg]","2013-06-21T04:58:59.000Z","false","","","","false","204046","126","false","347942951063789568","Terri Smith","19041310","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","2009-01-15T22:00:55.000Z","","This is the official account of the #Calgary Police Service. Not monitored 24/7. *EMERGENCY CALL 911* Non-Emergency: 403-266-1234 #yyc","","And also evacuate this area of Bowness. #yycflood 2/2 http://t.co/hGZVoJaLJD","en","","RT @CalgaryPolice: And also evacuate this area of Bowness. #yycflood 2/2 http://t.co/hGZVoJaLJD","false","en","","7123","","false","false","22","false","false","","21","","false","[photo]","1142","Calgary","0","","","","[yycflood]","-1","help2learn","","true","[http://pbs.twimg.com/media/BNQjILmCcAAP5Jf.jpg]","2013-06-21T05:03:58.000Z","","[CalgaryPolice]","false"
"3359","329","","","","","256206826","2011-02-22T21:52:37.000Z","Your Community Newspaper - First in the Foothills","","@Premier_Redford expected to be touring High River and area tomorrow. #ABflood","-1","","","en","","[2408063185]","","","","","","false","2","false","","","false","","22","","","","","","","Redford_Alison","","","","","false","","","","false","","","false","347948810540036096","Okotoks WesternWheel","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","en","","","false","","","6958","http://t.co/erQ3EnflAo","true","false","","","","","57","","","","","Okotoks, AB ","1","250792007","","","[ABflood]","-1","OKWesternWheel","","","","2013-06-21T05:27:15.000Z","","[Premier_Redford]",""
"70","252","Naheed Nenshi","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","347905931406872576","350990684","2011-08-08T16:37:16.000Z","A fan of higher ed and football. Fired up about inclusion in both. #yyc is home","","The City of Calgary newsroom is also a good source for the latest releases about #yycflood http://t.co/wA29b1US4g","","","en","en","false","[33798654]","","56592","https://t.co/zeFHzKEFKv","true","false","false","59","false","","2548","false","[http://newsroom.calgary.ca/pr/calgary/default.aspx]","39","Calgary, Alberta","","","9","-1","","","nenshi","[yycflood]","","2013-06-21T02:36:52.000Z","false","","","","false","395961","1246","false","347914475933941760","TerrE","33798654","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2009-04-21T03:43:27.000Z","","Mayor of Calgary, working every day to make this place even better. Personal account, not funded nor endorsed by the City of Calgary.","","The City of Calgary newsroom is also a good source for the latest releases about #yycflood http://t.co/wA29b1US4g","en","","RT @nenshi: The City of Calgary newsroom is also a good source for the latest releases about #yycflood http://t.co/wA29b1US4g","false","en","","287","","false","false","59","false","false","","0","[http://newsroom.calgary.ca/pr/calgary/default.aspx]","false","","97","","0","","","","[yycflood]","-1","onlineanne","","true","","2013-06-21T03:10:49.000Z","","[nenshi]","false"
