"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"1828","1208","frederic hutter","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","401736136550146048","11537872","2007-12-26T16:48:40.000Z","","","Cala Soraya, la nostra spiaggia preferita a Spargi, arcipelago di La Maddalena,  #Sardegna. http://t.co/X1rWBvLzig RT via @iSardegnaAPP","","","en","it","false","[97691041]","","84604","http://t.co/Bj2jCEKRlO","true","false","false","4","false","","1284","false","","3092","Austria","[photo]","","7","-1","","","hutterdesign","[Sardegna]","[http://pbs.twimg.com/media/BPc2D_tCAAE1TuY.jpg]","2013-11-16T15:38:53.000Z","false","","","","false","19430","14603","false","401736359511339010","stefanos","97691041","<a href=""http://getfalcon.pro"" rel=""nofollow"">Falcon-Pro</a>","2009-12-18T15:37:47.000Z","","graphic designer, photographer, illustrator http://t.co/gVSLtSdsF6","","Cala Soraya, la nostra spiaggia preferita a Spargi, arcipelago di La Maddalena,  #Sardegna. http://t.co/X1rWBvLzig RT via @iSardegnaAPP","el","","RT @hutterdesign: Cala Soraya, la nostra spiaggia preferita a Spargi, arcipelago di La Maddalena,  #Sardegna. http://t.co/X1rWBvLzig RT via…","false","it","","155060","","true","false","4","false","false","","35","","false","[photo]","64025","","0","","","","[Sardegna]","-1","stefs","","false","[http://pbs.twimg.com/media/BPc2D_tCAAE1TuY.jpg]","2013-11-16T15:39:46.000Z","","[hutterdesign]","false"
"1071","55","","","","","279168541","2011-04-08T18:35:56.000Z","Sogno di esserci","","#Sardegna. Quel disastro del Bilancio pubblico regionale http://t.co/pr4kB7dp4B","","","","it","","","","","","","","false","0","false","","","false","","20140","","","","","","","","","","","","false","","","","false","","","false","405404844585779200","cagliarimonamour","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","it","","","false","","","47387","https://t.co/kjA14aETRD","false","false","","","","","108","[http://pigiotto.blog.tiscali.it/2013/11/26/14214/]","","","","Cagliari","0","","","","[Sardegna]","-1","pixiedixi","","","","2013-11-26T18:37:01.000Z","","",""
"1485","3258","La Stampa","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","402500929506668546","630524940","2012-07-08T19:04:56.000Z","Magazziniere carrellista,appassionato di auto,di infrastrutture,di fotografia.Ascolto musica rock e la bella musica in generale....","","Così il #maltempo ha sconvolto la #Sardegna http://t.co/lDHgczN43n http://t.co/8CeGXMXwJ8","","","it","it","false","[716767568770498564]","","327107","https://t.co/DqTQs84xqS","true","false","false","77","false","","6146","false","[http://bit.ly/1aNlrG0]","36089","Torino, Piemonte","[photo]","","11","-1","","","LaStampa","[maltempo, Sardegna]","[http://pbs.twimg.com/media/BZX4dn1CcAAIB5a.jpg]","2013-11-18T18:17:54.000Z","false","","","","false","1007357","337","false","402503078278336513","vincenzo dede","29416653","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2009-04-07T09:31:23.000Z","","Notizie, inchieste, analisi e breaking news. RT dei nostri giornalisti e lettori","","Così il #maltempo ha sconvolto la #Sardegna http://t.co/lDHgczN43n http://t.co/8CeGXMXwJ8","it","","RT @la_stampa: Così il #maltempo ha sconvolto la #Sardegna http://t.co/lDHgczN43n http://t.co/8CeGXMXwJ8","false","it","","27304","","true","false","77","false","false","","26","[http://bit.ly/1aNlrG0]","false","[photo]","1300","Padula(Salerno)Italy","0","","","","[maltempo, Sardegna]","-1","DedeVincenzo","","true","[http://pbs.twimg.com/media/BZX4dn1CcAAIB5a.jpg]","2013-11-18T18:26:26.000Z","","[la_stampa]","false"
"40","45","","","","","1116652880","2013-01-24T12:21:43.000Z","","","#Italy #Sardinia #Cagliari #weekends http://t.co/ZUhJnPZXkF","","","","und","","","","","","","","false","0","false","","","false","","69","","","","","","","","","","","","false","","","","false","","","false","401824347587088384","Nastya Sivec","","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","","","","","","ru","","","false","","","485","http://t.co/r9brWwsSTQ","true","false","","","","","2","[http://instagram.com/p/gylAqpACoB/]","","","","","0","","","","[Italy, Sardinia, Cagliari, weekends]","-1","NastyaSivec","","","","2013-11-16T21:29:24.000Z","","",""
"5037","2576","Nicola Pinna","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false","404889862568148992","2187513969","2013-11-19T15:25:22.000Z","","","A #Olbia adesso c'è bisogno di stufe. Dopo la pioggia è arrivato il freddo. Passate parola, ritwittate. #Sardegna #alluvioni @la_stampa","","","it","it","false","[364785591]","","7266","https://t.co/XJBRrhTAf7","true","false","false","163","false","","107","false","","57804","","","","23","-1","","","nicola_pinna","[Olbia, Sardegna, alluvioni]","","2013-11-25T08:30:40.000Z","false","","[la_stampa]","","false","7650","1081","false","405354890408763392","Ornella","364785591","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2011-08-30T10:13:10.000Z","","giornalista, dalla sardegna direzione @LaStampa, sperimento la tv con @Ariachetira su @La7tv. Su @rmc_official potrebbe capitarvi di sentire la mia voce","","A #Olbia adesso c'è bisogno di stufe. Dopo la pioggia è arrivato il freddo. Passate parola, ritwittate. #Sardegna #alluvioni @la_stampa","it","[716767568770498564]","RT @nicola_pinna: A #Olbia adesso c'è bisogno di stufe. Dopo la pioggia è arrivato il freddo. Passate parola, ritwittate. #Sardegna #alluvi…","false","it","","65661","","true","false","163","false","false","","27","","false","","1955","","0","","","","[Olbia, Sardegna]","-1","oboniolo45","","true","","2013-11-26T15:18:31.000Z","","[nicola_pinna]","false"
"2680","2552","","","","","951709952","2012-11-16T13:38:42.000Z","Mi occupo di cure palliative domiciliari e di fine vita. Ho scritto un libro in merito ""Coraggio e Paura"" - dieci piccole grandi storie di fine vita.","","@annapaolaconcia OLBIA-DINTORNI:chi ha mezzi pesanti(terne e simili) è invitato a mettersi a disposizione. http://t.co/QurwmtKbve #Sardegna","-1","","","it","","[55238295]","","","","","","false","15","false","","","false","","16640","","","","","","","annapaolaconcia","","","","","false","","","","false","","","false","402563006481317888","Cristian Riva","","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","","","","","","it","","","false","","","33045","https://t.co/BbKngoX80O","true","false","","","","","28","[http://ow.ly/qWYRC]","","","","Bergamo - Roma ","2","55238295","","","[Sardegna]","-1","coraggioEpaura","","","","2013-11-18T22:24:34.000Z","","[annapaolaconcia]",""
"4958","3218","FabioManuelMulas","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","405302718006177792","1626143233","2013-07-27T19:11:22.000Z","ANTIVIVISEZIONE AMO LA VITA IN TUTTE LE SUE FORME ANIMALISTA AMBIENTALISTA SPOSATA E MADRE NON M'IMPORTA MOLTO PARLARE D'ALTRO","","Non Servono Parole Basta solo guardare #AllertameteoSAR due Vite in Più!  #VigilidelFuoco #Olbia #Sardegna http://t.co/HH9yhvDkYp","","","it","it","false","","","116510","https://t.co/NJxiHaeFth","true","false","false","17","false","","150","false","","43538","Sardegna, Italia","","","18","-1","","","FabManuelMulas","[AllertameteoSAR, VigilidelFuoco, Olbia, Sardegna]","[http://pbs.twimg.com/media/BZ_srLWCMAExEXB.jpg]","2013-11-26T11:51:12.000Z","false","","","","false","82039","2709","false","405373903209758720","Desy Nina","350842716","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2011-08-08T11:49:59.000Z","","Produttore Regista Scrittore Direttore Nuragica Films Distribution    #IlsequestroLucaLocci #BandidoSeBalentes https://t.co/9zo4ub8Zos","","Non Servono Parole Basta solo guardare #AllertameteoSAR due Vite in Più!  #VigilidelFuoco #Olbia #Sardegna http://t.co/HH9yhvDkYp","it","","RT @CriticoCinema: Non Servono Parole Basta solo guardare #AllertameteoSAR due Vite in Più!  #VigilidelFuoco #Olbia #Sardegna http://t.co/H…","false","it","","108452","","true","false","17","false","false","","70","","false","[photo]","333042","Arona/Novara","0","","","","[AllertameteoSAR, VigilidelFuoco, Olbia, Sardegna]","-1","Desynina3","","true","","2013-11-26T16:34:04.000Z","","","false"
"752","61","","","","","595411314","2012-05-31T09:15:16.000Z","","","Alluvione, Poste Italiane: via libera a pagamenti in Sardegna e in Calabria - http://t.co/XAMpcZuk1T #calabria #news","","","","it","","","","","","","","false","0","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","405365443277639680","Calabrie News","","<a href=""http://www.calabrie.it"" rel=""nofollow"">Calabrie</a>","","","","","","it","","","false","","","28159","http://t.co/TAff9pmw64","false","false","","","","","6","[http://bit.ly/1hfT4Ja]","","","","Calabria","0","","","","[calabria, news]","-1","CalabrieIT","","","","2013-11-26T16:00:27.000Z","","",""
"4286","4617","Sardegna Suggestions","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","false","405652957750099968","105734996","2010-01-17T08:50:25.000Z","dove trovare del buon vino in sardegna","","Alghero (SS) - scatto di Paolo Calaresu http://t.co/v1SjnCv00J #sardegna #fotografia http://t.co/XBNL9WAusX","","","it","it","false","[1230011809]","","1067","http://t.co/H6reQXnJu6","false","false","false","2","false","","19","false","[http://ift.tt/18GCygU]","75","Sardegna","[photo]","","2","-1","","","SardegnaSugg","[sardegna, fotografia]","[http://pbs.twimg.com/media/BaErNzeIMAAC1Hj.jpg]","2013-11-27T11:02:56.000Z","false","","","","false","742","1270","false","405653117993488384","enoteca sardegna","1230011809","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2013-03-01T14:44:44.000Z","","Spiaggie, itinerari, corsi di fotografia, trekking, hotels, sailing, passeggiate e molto altro ancora.","","Alghero (SS) - scatto di Paolo Calaresu http://t.co/v1SjnCv00J #sardegna #fotografia http://t.co/XBNL9WAusX","it","","RT @SardegnaSugg: Alghero (SS) - scatto di Paolo Calaresu http://t.co/v1SjnCv00J #sardegna #fotografia http://t.co/XBNL9WAusX","false","it","","4584","","true","false","2","false","false","","62","[http://ift.tt/18GCygU]","false","[photo]","0","sardegna","0","","","","[sardegna, fotografia]","-1","enotecasardegna","","false","[http://pbs.twimg.com/media/BaErNzeIMAAC1Hj.jpg]","2013-11-27T11:03:34.000Z","","[SardegnaSugg]","false"
"5","23","","","","","1458198704","2013-05-25T22:32:11.000Z","Giochi, svago, tempo libero, divertimento... un gruppo che riunisce tutto questo!!","","I liked a @YouTube video http://t.co/dzQ5MrAYvJ ALLUVIONE IN SARDEGNA! DIAMO UNA MANO?","","","","it","","[10228272]","","","","","","false","0","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","405460779807166464","CriticoNegativo","","<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","","","","","","it","","","false","","","449","https://t.co/8hywuZiY2U","false","false","","","","","0","[http://youtu.be/hdJE4g0n4io?a]","","","","","0","","","","","-1","CriticoNegativo","","","","2013-11-26T22:19:17.000Z","","[YouTube]",""
