"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"71","1751","Bíblia Sagrada","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","295523762500141056","472010668","2012-01-23T14:10:22.000Z","","","Mais de 180 mortos confirmados na tragédia de #SantaMaria. Infelizmente só nos resta torcer para que não aja mais mortos.","","","pt","pt","false","","","4121","https://t.co/C4IjUwyYha","false","false","false","985","false","","78","false","","201","Brasil","","","6","-1","","","_ABibliaSagrada","[SantaMaria]","","2013-01-27T13:28:50.000Z","false","","","","false","102601","44095","false","295524947223257088","marcos","586838267","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","2012-05-21T20:13:41.000Z","","Criado com o objetivo de levar a palavra de Deus. Siga-nos no Instagram: @CoracaoDeUmCristao","","Mais de 180 mortos confirmados na tragédia de #SantaMaria. Infelizmente só nos resta torcer para que não aja mais mortos.","en","","RT @LivroSoDeFrases: Mais de 180 mortos confirmados na tragédia de #SantaMaria. Infelizmente só nos resta torcer para que não aja mais m ...","false","pt","","6218","","false","false","985","false","false","","0","","false","","495","","0","","","","[SantaMaria]","-1","maykynhos","","false","","2013-01-27T13:33:32.000Z","","","false"
"1091","623","","","","","521079959","2012-03-11T06:47:19.000Z","I'm the space invader 🚀","","RT @BBCBreaking: Fire in nightclub in southern #Brazil city of Santa Maria leaves at least 70 dead, local media report http://t.co/zMddoBYh","","","","en","","[5402612]","","","","","","false","0","false","","","false","","379","","","","","","","","","","","","false","","","","false","","","false","295483536855670784","Rama Adira","","<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>","","","","","","en","","","false","","","14675","https://t.co/ocxCe5l5dF","false","false","","","","","2","[http://bbc.in/1104lpk]","","","","Selakopi, Bogor","0","","","","[Brazil]","-1","ramatrooper","","","","2013-01-27T10:48:59.000Z","","[BBCBreaking]",""
"355","194","","","","","56289430","2009-07-13T04:43:58.000Z","Dreamer, a man who lives in the process ...","","#LUTO pelos falecidos na tragédia na #boateKiss que DEUS console os familiares, amigos e conhecidos!","","","","pt","","","","","","","","false","0","false","","","false","","15","","","","","","","","","","","","false","","","","false","","","false","295505150108381185","Léo HoppeN","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","pt","","","false","","","6236","http://t.co/HVxGBRJ7SF","true","false","","","","","3","","","","","Santa Maria- RS Brazil","0","","","","[LUTO, boateKiss]","-1","LeO_Hoppen","","","","2013-01-27T12:14:52.000Z","","",""
"357","8","","","","","859675417","2012-10-03T13:13:35.000Z","Latest news in the universe.","","Death toll in Brazil nightclub fire rises to 180 - USA TODAY: The GuardianDeath toll in Brazil nightclub fire ri... http://t.co/RETizXju","","","","en","","","","","","","","false","0","false","","","false","","2","","","","","","","","","","","","false","","","","false","","","false","295525882557259776","Uni-Team-News","","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","","","","","","en","","","false","","","25893","","false","false","","","","","2","[http://adf.ly/I2cik]","","","","","0","","","","","-1","TheUniNews","","","","2013-01-27T13:37:15.000Z","","",""
"547","293","Central da Fama","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false","295528343586095104","204524344","2010-10-18T22:10:19.000Z","when you lose small mind you free your life 🏹","","Corpo de Bombeiros: Segundo o Corpo de Bombeiros a maioria das mortes causadas na boate Kiss, foram causadas por asfixia. #PorqueTTs","","","pt","pt","false","[836000047930179584]","","31016","https://t.co/4W0CXm8WMU","false","false","false","146","false","","803","false","","13653","","","","3","-1","","","centraldafama_","[PorqueTTs]","","2013-01-27T13:47:02.000Z","false","","","","false","147094","219","false","295528680162201602","Liandra Ferrari","220557335","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2010-11-28T04:02:46.000Z","","Acompanhe e fique informado de tudo que acontece na vida pessoal, nos bastidores e no palco dos grandes nomes da música e tv. Instagram: @centraldafama","","Corpo de Bombeiros: Segundo o Corpo de Bombeiros a maioria das mortes causadas na boate Kiss, foram causadas por asfixia. #PorqueTTs","pt","","RT @PorqueTTs: Corpo de Bombeiros: Segundo o Corpo de Bombeiros a maioria das mortes causadas na boate Kiss, foram causadas por asfixia. ...","false","pt","","49474","https://t.co/aApL6RKs03","false","false","146","false","false","","0","","false","","527","","0","","","","","-1","liandraaferrari","","false","","2013-01-27T13:48:22.000Z","","[PorqueTTs]","false"
"422","295","CNN Breaking News","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","295515449683222528","165383755","2010-07-11T12:07:12.000Z","ENTP. Middle child. Aries. Snake-born. Left-handed. CPA. SAP Superstar. Alcoholic. Coffeeholic. Fame whore. Single. 26 and counting. You're gonna love me!","","Death toll climbs to 220 in Brazil nightclub fire, official says. http://t.co/MKONrvLf","","","en","en","false","[428333]","","61489","http://t.co/HjKR4r61U5","false","false","false","853","false","","182100","false","[http://on.cnn.com/VpQqHr]","172","Everywhere","","","52","-1","","","cnnbrk","","","2013-01-27T12:55:48.000Z","false","","","","false","54997046","121","false","295518139851091970","Angelou Anlap","428333","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2007-01-02T01:48:14.000Z","","Breaking news from CNN Digital. Now 55M strong. Check @cnn for all things CNN, breaking and more. Download the app for custom alerts: https://t.co/QFUAuNnQyS","","Death toll climbs to 220 in Brazil nightclub fire, official says. http://t.co/MKONrvLf","en","","RT @cnnbrk: Death toll climbs to 220 in Brazil nightclub fire, official says. http://t.co/MKONrvLf","false","en","","40492","https://t.co/NY8Fcrq0GA","true","false","853","false","false","","6","[http://on.cnn.com/VpQqHr]","false","","19","mandaluyong city, philippines","0","","","","","-1","louieanlap","","true","","2013-01-27T13:06:29.000Z","","[cnnbrk]","false"
"67","1542","Bíblia Sagrada","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","295523762500141056","514317975","2012-03-04T13:03:58.000Z","vai delicia do carai ♫ me segue ae","","Mais de 180 mortos confirmados na tragédia de #SantaMaria. Infelizmente só nos resta torcer para que não aja mais mortos.","","","pt","pt","false","","","4121","https://t.co/C4IjUwyYha","false","false","false","985","false","","78","false","","22","Brasil","","","6","-1","","","_ABibliaSagrada","[SantaMaria]","","2013-01-27T13:28:50.000Z","false","","","","false","102601","44095","false","295524951396605953","Stefanie Oliveer","586838267","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","2012-05-21T20:13:41.000Z","","Criado com o objetivo de levar a palavra de Deus. Siga-nos no Instagram: @CoracaoDeUmCristao","","Mais de 180 mortos confirmados na tragédia de #SantaMaria. Infelizmente só nos resta torcer para que não aja mais mortos.","en","","RT @LivroSoDeFrases: Mais de 180 mortos confirmados na tragédia de #SantaMaria. Infelizmente só nos resta torcer para que não aja mais m ...","false","pt","","3285","","false","false","985","false","false","","0","","false","","495","","0","","","","[SantaMaria]","-1","Stefanie_oliver","","false","","2013-01-27T13:33:33.000Z","","","false"
"5799","3715","The Associated Press","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","false","295512408460505088","17773367","2008-12-01T06:34:21.000Z","Family first. @FoxNews Producer. Bigger sports fan than your girlfriend. Bleed Dodger Blue. @Cronkite_ASU alum. Sun Devil for life. #NO8DO. Past: @12News, @KCRG","","BREAKING: Fire sweeps through Brazil nightclub, officials say 180 dead","","","en","en","false","[51241574]","","213300","https://t.co/48pFaJVRcr","false","false","false","237","false","","91598","false","","33753","Global","","","7","-1","","","AP","","","2013-01-27T12:43:43.000Z","true","","","","false","12806999","7191","false","295515719758651393","Lauren Peikoff","51241574","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","2009-06-26T21:48:52.000Z","","News from The Associated Press, and a taste of the great journalism produced by AP members and customers. Managed 24/7 by these editors: https://t.co/D0hLCc7ShX","","BREAKING: Fire sweeps through Brazil nightclub, officials say 180 dead","en","","RT @AP: BREAKING: Fire sweeps through Brazil nightclub, officials say 180 dead","false","en","","32777","https://t.co/Jbh3eedyzJ","true","false","237","false","false","","168","","false","","1500","New York City","0","","","","","-1","laurenpeikoff","","true","","2013-01-27T12:56:52.000Z","","[AP]","false"
"489","765","","","","","806446448","2012-09-06T09:35:38.000Z","@dablegsquad \DS/","","#BigFollow só hoje: ganhe mais pessoas do que segue!  #SantaMaria: -bigfollow.net","","","","pt","","","","","","","","false","0","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","295526532674383872","Andhika Palesti","","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","","","","","","en","","","false","","","517","","false","false","","","","","0","","","","","Bekasi,","0","","","","[BigFollow, SantaMaria]","-1","andhikapalesti1","","","","2013-01-27T13:39:50.000Z","","",""
"154422","788","","","","","403563397","2011-11-02T17:37:31.000Z","Head of News - Anchor @Ntvuganda, Husband/Father and faithful servant of God.","","Another lesson to nightclub owners; place safety first not revenue. 
Brazil nightclub fire likely killed more than 200. http://t.co/BOgvHf50","","","","en","","","","","","","","false","3","false","","","false","","2234","","","","","","","","","","","","true","","","","false","","","false","295497231237251073","Maurice Mugisha","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","en","","","false","","","23923","","true","false","","","","","113","[http://www.reuters.com/article/2013/01/27/us-brazil-nightclub-idUSBRE90Q04T20130127]","","","","Kampala, UGANDA","0","","","","","-1","MauriceMugisha","","","","2013-01-27T11:43:24.000Z","","",""
