"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"292","75","","","","","715975723","2012-07-25T12:18:48.000Z","Dem bitches be lyk I luv dreezy","","Rescues underway as central Qld floods - Herald Sun http://t.co/xoqPNlTn","","","","en","","","","","","","","false","0","false","","","false","","3","","","","","","","","","","","","false","","","","false","","","false","294675231556124672","Jst cal me dreezylrd","","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","","","","","","en","","","false","","","186295","","false","false","","","","","3","[http://dlvr.it/2rPfVK]","","","","Nigeria","0","","","","","-1","yungchizy7","","","","2013-01-25T05:17:04.000Z","","",""
"325","2015","","","","","92165917","2009-11-24T01:18:32.000Z","","","The story on the QLD Floods, crying my eyes out! The crew of rescuers on that Capricorn chopper are true blue heroes @sundaynighton7 #SN7","","","","en","","[19577385]","","","","","","false","1","false","","","false","","1992","","","","","","","","","","","","false","","","","false","","","false","297997619442098176","Amanda Borzi","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","en","","","false","","","5132","","false","false","","","","","5","","","","","Australia","0","","","","[SN7]","-1","amandaborzi","","","","2013-02-03T09:19:03.000Z","","[sundaynighton7]",""
"3092","3564","","","","","79024127","2009-10-01T22:41:49.000Z","6ft Polynesian Beauty.I like to run cos i can. I believe Guinness contains special powers that help with my speed & endurance.training. #TwitterAngels","","so 15,000 farmed crocodiles have escaped in the Queensland floods after walls breached by floodwater.....eeeeeeekkkkk","","","","en","","","","","","","","false","0","false","","","false","","705","","","","","","","","","","","","false","","","","false","","","false","297613274399272960","Torrie Tara","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","en","","","false","","","39622","http://t.co/yuExtFugve","false","false","","","","","38","","","","","Devon, England","0","","","","","-1","TorrieTara","","","","2013-02-02T07:51:48.000Z","","",""
"3432","1100","","","","","11237","2006-11-01T04:09:07.000Z","Gold House Captain 1982, Director of Experience Research 2017... You join the dots!","","Ok there's huge flooding in Qld??! I'm only hearing this via twitter. Next stop - ABC News","","","","en","","","","","","","","false","0","false","","","false","","1314","","","","","","","","","","","","false","","","","false","","","false","294603387343892483","Lisa Herrod","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","","","en","","","false","","","29180","https://t.co/rXXHH03F0a","true","false","","","","","338","","","","","Australia","0","","","","","-1","scenariogirl","","","","2013-01-25T00:31:35.000Z","","",""
"771","1377","Queensland Online","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","false","294403979683717121","124042275","2010-03-18T02:11:02.000Z","Bicycling Australia Digital Content Producer, Cycling Photojournalist & TeamCar Rider Support. Tour de France tragic.","","Up to 14 luxury yachts & houseboats have been washed ashore in the Whitsundays #qld #tcoswald #bigwet","","","en","en","false","[95497359]","","438518","http://t.co/tZxmAAcBlZ","true","false","false","3","false","","463","false","","1590","Queensland, Australia","","","0","-1","","","QLDOnline","[qld, tcoswald, bigwet]","","2013-01-24T11:19:13.000Z","false","","","","false","12373","41","false","294405693010755584","Nat Bromhead","95497359","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2009-12-08T20:36:53.000Z","","The latest News & Information from & about Queensland including Travel, Tourism, Politics, Weather, Conditions, Advice, Events, Crime & Streaming.","","Up to 14 luxury yachts & houseboats have been washed ashore in the Whitsundays #qld #tcoswald #bigwet","en","","RT @QLDOnline: Up to 14 luxury yachts & houseboats have been washed ashore in the Whitsundays #qld #tcoswald #bigwet","false","en","","7423","https://t.co/mZFFZiJRoU","true","false","3","false","false","","60","","false","","14","Sydney, Australia","0","","","","[qld, tcoswald, bigwet]","-1","natbromhead","","false","","2013-01-24T11:26:01.000Z","","[QLDOnline]","false"
"49316","49318","","","","","23293888","2009-03-08T09:59:03.000Z","Official account of Australia Today 
Independent updates & chronological referencing during major events 
Australian news ( #au2day ) created by @smdindustries","","After #bdbflood Sunrise #bundaberg #qld Feb02 #burnett_river highlighting #qldfloods ravaged banks http://t.co/6nPknPZR © @QPSmedia #bigwet","","","","en","","[880288009123319808]","","","","","","false","1","false","","","false","","13829","","[photo]","","","","","","","","","","false","","","","false","","","false","297677816357597184","Australia Today","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","en","","","false","","","11140","https://t.co/XSAvj3c21u","false","false","","","","","441","","","","","East Coast, Australia","1","","","","[bdbflood, bundaberg, qld, burnett_river, qldfloods, bigwet]","-1","autoday","","","[http://pbs.twimg.com/media/BCDJCT_CQAAka82.jpg]","2013-02-02T12:08:16.000Z","","[QPSmedia]",""
"2987","1991","Qld SES","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","false","294601516139028480","149046188","2010-05-28T08:04:53.000Z","A RT ≠ endorsement. Be kind. If you can't be kind, be silent.","","RT @rrcouncil: If you have your car at the #Rockhampton Airport please move it asap! the car park is likely to flood. #BigWet","","","en","en","false","[321362896, 25918186]","","1805","http://t.co/NxFG7YfsZE","true","false","false","7","false","","195","false","","3000","Queensland, Australia","","","1","-1","","","QldSES","[Rockhampton, BigWet]","","2013-01-25T00:24:09.000Z","true","","[RRCouncil]","","false","6528","90","false","294648903926681600","Leanne Donaldson","321362896","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2011-06-21T13:08:32.000Z","","This account is not currently active. Please follow @QldFES for SES updates. For storm & flood assistance call 132 500.","","RT @rrcouncil: If you have your car at the #Rockhampton Airport please move it asap! the car park is likely to flood. #BigWet","en","[25918186]","RT @QldSES: RT @rrcouncil: If you have your car at the #Rockhampton Airport please move it asap! the car park is likely to flood. #BigWet","false","en","","41974","","true","false","7","false","false","","126","","false","","0","QLD Australia","0","","","","[Rockhampton, BigWet]","-1","bundyleanne","","false","","2013-01-25T03:32:27.000Z","","[QldSES, RRCouncil]","false"
"524","950","tsvnq","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","false","293974004748926976","330977117","2011-07-07T13:15:36.000Z","Proud North Queenslander! Sport Lover-Rugby League, Basketball, Horse Racing!School Teacher & Coffee shop owner. I Love a Bundy Rum & I'm sensibly opinionated.","","Water across several parts of Hugh Street. Avoid if possible. #townsville #nq #bigwet","","","en","en","false","[15869530]","","19294","http://t.co/hmdhteGGLp","true","false","false","2","false","","32","false","","124","Townsville, Qld, AUSTRALIA","","","0","-1","","","tsvnq","[townsville, nq, bigwet]","","2013-01-23T06:50:39.000Z","false","","","","false","728","568","false","293978649948979201","Corey Davis","15869530","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","2008-08-16T01:03:15.000Z","","Too much time on my hands!","","Water across several parts of Hugh Street. Avoid if possible. #townsville #nq #bigwet","en","","RT @tsvnq: Water across several parts of Hugh Street. Avoid if possible. #townsville #nq #bigwet","false","en","","18727","","true","false","2","false","false","","13","","false","","146","Townsville,Australia.","0","","","","[townsville, nq, bigwet]","-1","Corey_NQ","","false","","2013-01-23T07:09:06.000Z","","[tsvnq]","false"
"7","0","","","","","563699366","2012-04-26T12:52:43.000Z","Our aim is to keep the Australian community informed on traffic events. Our information is sourced","","#QLD

Police: #bigwet Bruce H'Way near Mobil Service Station & Butler St, Tully... http://t.co/pNxFvjoC","","","","en","","","","","","","","false","0","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","293925403238748161","Australian Road&Traf","","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","","","","","","en","","","false","","","13249","","false","false","","","","","0","[http://on.fb.me/VTjODw]","","","","","0","","","","[QLD, bigwet]","-1","AustralianTraff","","","","2013-01-23T03:37:31.000Z","","",""
"1729","504","","","","","70705737","2009-09-01T15:27:15.000Z","Australian Citizens Radio Emergency Monitors Inc: Volunteer CB Emergency Monitors, Emergency & Safety Communications, and advocates for CB hobbyists.","","23/16:03 EST Flood Warning - Coastal Rivers - North (QLD) http://t.co/ca0eFXz0 #BIGWET #QLD UPDATED ITEM http://t.co/jlvcwuUY","","","","en","","","","","","","","false","0","false","","","false","","22","","","","","","","","","","","","false","","","","false","","","false","293965794398859265","ACREM","","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","","","","","","en","","","false","","","85582","http://t.co/v1BJsolsuk","true","false","","","","","191","[http://dlvr.it/2qsZvG, http://fb.me/1uNGRjNFG]","","","","NSW, QLD, VIC, WA","0","","","","[BIGWET, QLD]","-1","cbemergency","","","","2013-01-23T06:18:01.000Z","","",""
"1575","1434","","","","","179914856","2010-08-18T11:53:36.000Z","Journalist/Newsreader - Brisbane 973FM and 4KQ 12-6PM weekdays. https://t.co/DJBrpOubiG
It's only impossible until it's done.  NELSON MANDELA
https://t.co/wpdxLQ12es","","Emergency payments to flood victims in Qld will start immediately. App forms available from tomorrow http://t.co/NcOr7CaE or 1800 811 700.","","","","en","","","","","","","","false","0","false","","","false","","1644","","","","","","","","","","","","false","","","","false","","","false","298618057666998272","Hope Fabillar","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","en","","","false","","","8828","https://t.co/2yurzPZc1s","false","false","","","","","43","[http://www.redcross.org.au]","","","","Australia ","0","","","","","-1","HopeFabillar","","","","2013-02-05T02:24:27.000Z","","",""
"12373","41","","","","","95497359","2009-12-08T20:36:53.000Z","The latest News & Information from & about Queensland including Travel, Tourism, Politics, Weather, Conditions, Advice, Events, Crime & Streaming.","","SE: Mur’bah businesses record $200,000 in flood losses http://t.co/tczqsdzu #qld","","","","en","","","","","","","","false","0","false","","","false","","14","","","","","","","","","","","","false","","","","false","","","false","297428813099450368","Queensland Online","","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","","","","","","en","","","false","","","438518","http://t.co/tZxmAAcBlZ","true","false","","","","","463","[http://bit.ly/W8HjHY]","","","","Queensland, Australia","0","","","","[qld]","-1","QLDOnline","","","","2013-02-01T19:38:49.000Z","","",""
"565","82","","","","","385653792","2011-10-05T21:46:44.000Z","CEO at NIBA since July 2011.  Formerly CEO at Asbestos Injuries Compensation Fund Ltd and Deputy Chief Executive at Insurance Council of Australia Ltd.","","Looking forward to joining the insurance industry meeting with Queensland Treasurer tomorrow, to explain the industry response to floods.","","","","en","","","","","","","","false","0","false","","","false","","384","","","","","","","","","","","","false","","","","false","","","false","298311265317707776","Dallas Booth","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","en","","","false","","","373","http://t.co/XftSOqv0Ca","false","false","","","","","15","","","","","North Sydney, NSW, Australia","0","","","","","-1","NIBACEO","","","","2013-02-04T06:05:22.000Z","","",""
"2183","1207","Queensland Online","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","false","293264472498397185","63404417","2009-08-06T07:20:15.000Z","Marketing and Sales at Century 21 Port Douglas Real Estate, very opinionated but they are all my own thoughts/opinions.","","Qld floods class action 'could set record' http://t.co/FGWVocFO #qld","","","en","en","false","[95497359]","","438518","http://t.co/tZxmAAcBlZ","true","false","false","1","false","","463","false","[http://bit.ly/10flc2p]","1540","Queensland, Australia","","","0","-1","","","QLDOnline","[qld]","","2013-01-21T07:51:13.000Z","false","","","","false","12373","41","false","293266591339147264","Port DouglasSK","95497359","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2009-12-08T20:36:53.000Z","","The latest News & Information from & about Queensland including Travel, Tourism, Politics, Weather, Conditions, Advice, Events, Crime & Streaming.","","Qld floods class action 'could set record' http://t.co/FGWVocFO #qld","en","","RT @QLDOnline: Qld floods class action 'could set record' http://t.co/FGWVocFO #qld","false","en","","32133","http://t.co/wkVvfDWcmI","true","false","1","false","false","","101","[http://bit.ly/10flc2p]","false","","14","Port Douglas","0","","","","[qld]","-1","PortDouglasSK","","false","","2013-01-21T07:59:38.000Z","","[QLDOnline]","false"
"1398","737","","","","","420209564","2011-11-24T09:57:02.000Z","Senior Media Advisor @QldPolice. Husband-to-be of Harry Styles & Benedict Cumberbatch.🍦 + 🐱. Waved to Hillary Clinton once. My opinions & RTs, not employer's.","","The State Govt has ordered SEQ Water to release water from WIvenhoe to ""reassure"" residents. http://t.co/ZG7Qlk8L #bigwet","","","","en","","","","","","","","false","0","false","","","false","","2423","","","","","","","","","","","","false","","","","false","","","false","294673100845490177","Brent Davidson","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","en","","","false","","","51329","","true","false","","","","","45","[http://www.brisbanetimes.com.au/environment/weather/wivenhoe-to-release-water--but-not-on-seqwaters-advice-20130125-2dbkl.html]","","","","Brisbane, Australia.","0","","","","[bigwet]","-1","Brentus88","","","","2013-01-25T05:08:36.000Z","","",""
"53","28","","","","","91510739","2009-11-21T05:31:39.000Z","","","Wow! So much water on the roads #bigwet","","","","en","","","","","","","","false","0","false","","","false","","288","","","","","","","","","","","","false","","","","false","","","false","294716738371743744","Dead Geisha Llama","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","","","en","","","false","","","654","","false","false","","","","","4","","","","","Brisbane","0","","","","[bigwet]","-1","zombiegeisha85","","","","2013-01-25T08:02:00.000Z","","",""
"1479","1892","","","","","18746012","2009-01-08T00:23:21.000Z","NewsChomper is an RSS news dashboard delivering the latest headlines in online news","","Probe opens way for Queensland floods class action - The Australian: Brisbane TimesProbe opens way for Queenslan... http://t.co/JqtGOnlY","","","","en","","","","","","","","false","0","false","","","false","","1","","","","","","","","","","","","false","","","","false","","","false","293186081652871169","NewsChomper.com","","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","","","","","","en","","","false","","","258038","http://t.co/a6HjBCZD4o","false","false","","","","","49","[http://bit.ly/UJjYMo]","","","","Brooklyn, New York","0","","","","","-1","Newschomper","","","","2013-01-21T02:39:43.000Z","","",""
"12373","41","News Breakfast","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","294579660501700609","95497359","2009-12-08T20:36:53.000Z","The latest News & Information from & about Queensland including Travel, Tourism, Politics, Weather, Conditions, Advice, Events, Crime & Streaming.","","RT @abcnews As ex-cyclone Oswald brings flood chaos to Queensland, follow our live coverage: http://t.co/yf9espR6","","","en","en","false","[16463397, 2768501]","","28456","https://t.co/ANxfrEKaO9","true","false","false","1","false","","1196","false","[http://bit.ly/10OI51A]","14","Australia","","","0","-1","","","BreakfastNews","","","2013-01-24T22:57:18.000Z","false","","[abcnews]","","false","83746","1629","false","294579706265751552","Queensland Online","16463397","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","2008-09-26T03:58:08.000Z","","News Breakfast on ABC TV and ABC NEWS - 6-9.00am weekdays. This is an official @ABCaustralia account.","","RT @abcnews As ex-cyclone Oswald brings flood chaos to Queensland, follow our live coverage: http://t.co/yf9espR6","en","[2768501]","RT @BreakfastNews: RT @abcnews As ex-cyclone Oswald brings flood chaos to Queensland, follow our live coverage: http://t.co/yf9espR6","false","en","","438518","http://t.co/tZxmAAcBlZ","true","false","1","false","false","","463","[http://bit.ly/10OI51A]","false","","745","Queensland, Australia","0","","","","","-1","QLDOnline","","true","","2013-01-24T22:57:29.000Z","","[BreakfastNews, abcnews]","false"
"60","69","","","","","500863781","2012-02-23T15:03:28.000Z","","","Floods in Eastern Australia http://t.co/lrMyRjEs","","","","en","","","","","","","","false","0","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","297369233023717376","Insurance_newsnow","","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","","","","","","en","","","false","","","22111","","false","false","","","","","2","[http://dlvr.it/2tPg6G]","","","","","0","","","","","-1","Insurance_newsn","","","","2013-02-01T15:42:04.000Z","","",""
"16","213","","","","","1085468720","2013-01-13T08:49:03.000Z","Bonnie. 22. Australia. Chelsea FC. TSM. Tattoos. League of Legends . I dream of travelling the world. Hardstyle ❤️","","@TenLateNews My thoughts go out to all of the flood and fire victims around Australia, stay strong","-1","","","en","","[577309345]","","","","","","false","0","false","","","false","","339","","","","","","","TenLateNews","","","","","false","","","","false","","","false","297307861980164096","Bonnie James","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","","","en","","","false","","","194","https://t.co/fVXlShkjN3","false","false","","","","","1","","","","","Tas","0","577309345","","","","-1","BONJAMAN0610","","","","2013-02-01T11:38:12.000Z","","[TenLateNews]",""
"3508","3298","Daniel Franks","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","294644452734169089","544158224","2012-04-03T10:25:17.000Z","Construction, Mining & Energy news and updates from Africa, as they happen","","More news on our #NCCARF report RT: @ozmining News: Queensland mines were not ready for floods http://t.co/h3xrd0bG #mining","","","en","en","false","[813476542441472001, 26952812]","","2565","https://t.co/LEv3Oe3x1z","true","false","false","1","false","","95","false","[http://dlvr.it/2rMd3d]","855","Brussels, Belgium","","","1","-1","","","_DanielFranks","[NCCARF, mining]","","2013-01-25T03:14:46.000Z","false","","[ozmining]","","false","2834","245","false","294649323357102080","The Helmet News","218068272","<a href=""http://www.the-helmet.com/"" rel=""nofollow"">hemetRetweets</a>","2010-11-21T09:54:32.000Z","","Work at @UNDP on the minerals & materials that matter for the #SDGs | Lead @DevelopmentMin | Author 'Mountain Movers' | Antipodean | views my own","","More news on our #NCCARF report RT: @ozmining News: Queensland mines were not ready for floods http://t.co/h3xrd0bG #mining","en","[26952812]","RT @resourceafflict: More news on our #NCCARF report RT: @ozmining News: Queensland mines were not ready for floods http://t.co/h3xrd0bG ...","false","en","","194369","http://t.co/XUJuLwWwhW","false","false","1","false","false","","593","[http://dlvr.it/2rMd3d]","false","","455","Tema, Ghana","0","","","","[NCCARF]","-1","helmetnews","","false","","2013-01-25T03:34:07.000Z","","[resourceafflict, ozmining]","false"
"3027","32","","","","","231320120","2010-12-28T05:31:09.000Z","Monitoring all the highways in Queensland, Australia.","","Police: Latest road information, have a look at the State Highways and Motorways report #bigwet #qldtrafficDMR - Traffic & Travel Informa...","","","","en","","","","","","","","false","0","false","","","false","","1","","","","","","","","","","","","false","","","","false","","","false","297864009913360384","Queensland Highways","","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","en","","","false","","","23955","http://t.co/FqhIj9XIKw","false","false","","","","","62","","","","","Queensland, Australia","0","","","","[bigwet, qldtrafficDMR]","-1","QLD_Hwy","","","","2013-02-03T00:28:08.000Z","","",""
"589","671","","","","","38848633","2009-05-09T13:00:54.000Z","Mother of many, midwifery student & radical feminist.","","@Queensland came to visit friends & consider moving here. Floods, loss of food & $, stranded in 1 room with 2 small kids, NO support","-1","","","en","","[16976682]","","","","","","false","0","false","","","false","","219","","","","","","","Queensland","","","","","false","","","","false","","","false","297836172305125376","Sazz","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","","","en","","","false","","","12326","https://t.co/xzyq25Zs3z","true","false","","","","","29","","","","","Melbourne, Australia","0","16976682","","","","-1","allthatsazz","","","","2013-02-02T22:37:31.000Z","","[Queensland]",""
"2804","2042","","","","","32312173","2009-04-17T04:50:46.000Z","Been in media for 25 years. Currently ABC senior producer/ presenter. A retweet is not an endorsement. Email me at sanders.belinda@abc.net.au","","Wow that storm hit quickly and packed a punch! @abcsouthqld #bigwet #Toowoomba It's not what people who are cleaning up need.","","","","en","","[22453207]","","","","","","false","0","false","","","false","","3727","","","","","","","","","","","","false","","","","false","","","false","297299506888835075","Belinda Sanders","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","","","en","","","false","","","26013","","true","false","","","","","135","","","","","Toowoomba, Queensland","0","","","","[bigwet, Toowoomba]","-1","BelindaJSanders","","","","2013-02-01T11:05:00.000Z","","[abcsouthqld]",""
"643","791","ABC Southern Qld","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","false","297867406871769088","140019754","2010-05-04T10:00:32.000Z","🤬Flooded by a cotton farm...there’s no justice....there’s nothing left...hate levees","","Latest flood warning from the BOM for the Condamine http://t.co/xqpC3tze #bigwet","","","en","en","false","[22453207]","","9707","https://t.co/WHrjGyLXZe","true","false","false","1","false","","226","false","[http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ20825.html]","5913","Toowoomba","","","0","-1","","","abcsouthqld","[bigwet]","","2013-02-03T00:41:38.000Z","false","","","","false","8260","289","false","297869231809261568","Kylie K","22453207","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","2009-03-02T05:00:48.000Z","","ABC Southern Queensland is the home of news and information for Toowoomba and south-west Queensland. Listen on 747 AM.","","Latest flood warning from the BOM for the Condamine http://t.co/xqpC3tze #bigwet","en","","RT @abcsouthqld: Latest flood warning from the BOM for the Condamine http://t.co/xqpC3tze #bigwet","false","en","","38887","","false","false","1","false","false","","43","[http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ20825.html]","false","","136","QLD AUS","0","","","","[bigwet]","-1","qwadja","","true","","2013-02-03T00:48:53.000Z","","[abcsouthqld]","false"
"3027","32","","","","","231320120","2010-12-28T05:31:09.000Z","Monitoring all the highways in Queensland, Australia.","","Police: The Burnett Highway, six kilometres south of Mt Morgan has water over it. Proceed with caution. #qldtraffic #bigwet ...","","","","en","","","","","","","","false","0","false","","","false","","1","","","","","","","","","","","","false","","","","false","","","false","294383769383739392","Queensland Highways","","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","en","","","false","","","23955","http://t.co/FqhIj9XIKw","false","false","","","","","62","","","","","Queensland, Australia","0","","","","[qldtraffic, bigwet]","-1","QLD_Hwy","","","","2013-01-24T09:58:54.000Z","","",""
"729","660","","","","","203442882","2010-10-16T08:24:52.000Z","greenist • equalitarian • economic lefty • social libertarian • vegan • flossist •  cyclone botherer • senile delinquent • mint/kde","","It isn't over just yet: http://t.co/dKdwavUJ #FNQ #BigWet","","","","en","","","","","","","","false","0","false","","","false","","363","","","","","","","","","","","","false","","","","false","","","false","294213803581796352","PeteDotAscian","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","en-gb","","","false","","","52539","http://t.co/qeh0YoQzwX","false","false","","","","","56","[http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ20032.html]","","","","All Rites Reversed Ⓚ 2017","0","","","","[FNQ, BigWet]","-1","PeteDotAscian","","","","2013-01-23T22:43:31.000Z","","",""
"2130","853","","","","","255491897","2011-02-21T13:41:10.000Z","ABC News and Current Affairs Journalist, Producer & MC. Covenor of Women in Media Qld. Views are my own.","","Deputy Premier Jeff Seeney on rural towns and #qldflood disaster: ""..they felt abandoned, they were isolated"" @abcnews 
http://t.co/Wa4y98T0","","","","en","","[2768501]","","","","","","false","3","false","","","false","","2529","","","","","","","","","","","","true","","","","false","","","false","297574862954844160","Kathy McLeish","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","","","en","","","false","","","5666","https://t.co/knlFvfwxkf","true","false","","","","","92","[http://www.abc.net.au/news/2013-01-31/flooded-burnett-towns-face-long-recovery/4494474]","","","","Queensland, Australia","0","","","","[qldflood]","-1","kathymcleish1","","","","2013-02-02T05:19:10.000Z","","[abcnews]",""
"9","64","Queensland Police","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","false","293901796622094336","56862025","2009-07-15T00:02:07.000Z","Love , live n laugh","","#bigwet Bruce H'Way Tully to Silky Oak closed.","","","en","en","false","[880288009123319808]","","59338","https://t.co/oQWraJy6GT","true","false","false","5","false","","1439","false","","22","Queensland, Australia","","","1","-1","","","QldPolice","[bigwet]","","2013-01-23T02:03:43.000Z","false","","","","false","189941","370","false","293905736172457984","Brenda Reg","59338142","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2009-07-23T02:46:03.000Z","","Official Twitter account of the Queensland Police Service, Australia. Do not report crime here. Emergency: Triple Zero (000). Non Urgent: Policelink (131 444).","","#bigwet Bruce H'Way Tully to Silky Oak closed.","en","","RT @QPSmedia: #bigwet Bruce H'Way Tully to Silky Oak closed.","false","en","","41","","false","false","5","false","false","","0","","false","","2263","","0","","","","[bigwet]","-1","bez77","","true","","2013-01-23T02:19:22.000Z","","[QPSmedia]","false"
