"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"50","33","The Adamson Network","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false","369261370853695490","1627225566","2013-07-28T06:47:11.000Z","Humehr accewnt ohnli ohkei pls","","#rescueph @eduardcedric CEDRIC EDUARD CALAPATIA 09175700052. ALLENVILLE PHASE1 BINAKAYAN KAWIT CAVITE http://t.co/2J45QTWfyN","","","en","tl","false","[309551501]","","17547","http://t.co/SS8W1u3MXM","false","false","false","12","false","","23","false","","30","Manila, PHL","","56045258","0","-1","","","TheAdUNetwork","[rescueph]","[http://pbs.twimg.com/media/BR_hQp3CEAA7hwS.jpg]","2013-08-19T00:55:46.000Z","false","","","","false","10222","195","false","369262388584779777","Aduhmson pls","309551501","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","2011-06-02T08:32:28.000Z","","A community page for @AdamsonUni; not affiliated with the University. #SoarForTheWin #GoAdamson","369252725290057728","#rescueph @eduardcedric CEDRIC EDUARD CALAPATIA 09175700052. ALLENVILLE PHASE1 BINAKAYAN KAWIT CAVITE http://t.co/2J45QTWfyN","en","","RT @TheAdUNetwork: #rescueph @eduardcedric CEDRIC EDUARD CALAPATIA 09175700052. ALLENVILLE PHASE1 BINAKAYAN KAWIT CAVITE http://t.co/2J45QT…","false","tl","","1179","","false","false","12","false","false","","0","","false","[photo]","2461","Sun Mahrceleeknow","0","","","cedriccalapatia","[rescueph]","-1","adamsonpls","","false","","2013-08-19T00:59:48.000Z","","[TheAdUNetwork]","false"
"351","384","Diwa Philippines","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","369140134702108672","37138591","2009-05-02T04:17:18.000Z","Public Servant, Educator and Prayer Warrior","","If you or someone you know needs to be rescued, pls use the hashtag #rescuePH so the gov't. designated rescuers can find you #MaringPH","","","en","en","false","","","7218","https://t.co/JNtZwthO3X","true","false","false","851","false","","468","false","","1146","Philippines","","","82","-1","","","DiwaPH","[rescuePH, MaringPH]","","2013-08-18T16:54:01.000Z","false","","","","false","1390175","145","false","369176485052956672","Nico Garcia","348671748","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2011-08-04T20:22:18.000Z","","FIL language acct. since 2011, run by a professional translator to promote the use of Filipino on Twitter, help during PH disasters💙🇵🇭","","If you or someone you know needs to be rescued, pls use the hashtag #rescuePH so the gov't. designated rescuers can find you #MaringPH","en","","RT @twitter_ph: If you or someone you know needs to be rescued, pls use the hashtag #rescuePH so the gov't. designated rescuers can find yo…","false","en","","5971","https://t.co/vLIojupnKR","true","false","851","false","false","","6","","false","","1821","Makati , PH","0","","","","[rescuePH]","-1","nicofgarcia","","false","","2013-08-18T19:18:27.000Z","","","false"
"370","380","RescuePH","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","369094659017932801","424849510","2011-11-30T07:41:13.000Z","A future doctor, a Public Health advocate, an athlete, an avid reader, an indie movie maniac, and a music hound. 

Just a bit of everything in funsize!","","I'd like to advice everyone to please use the unified hashtag ""#RescuePH"" for rescue queries. Help save our fellow men.","","","en","en","false","[742145928]","","3002","http://t.co/mO73C2s2gH","false","false","false","199","false","","136","false","","1334","Philippines","","","14","-1","","","RescuePH","[RescuePH]","","2013-08-18T13:53:18.000Z","false","","","","false","10745","206","false","369099410526855170","Gladys Kaye Reyes","742145928","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2012-08-07T04:33:26.000Z","","RescuePH is a crowdsourced disaster response initiative to help coordinate disaster response and relief operations | Use #RescuePH for rescue-related queries","","I'd like to advice everyone to please use the unified hashtag ""#RescuePH"" for rescue queries. Help save our fellow men.","en","","RT @RescuePH: I'd like to advice everyone to please use the unified hashtag ""#RescuePH"" for rescue queries. Help save our fellow men.","false","en","","1881","","true","false","199","false","false","","4","","false","","119","Manila, Philippines","0","","","","[RescuePH]","-1","gladys_kaye","","false","","2013-08-18T14:12:11.000Z","","[RescuePH]","false"
"703","460","ABS-CBN News Channel","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","false","368964542220357632","166415409","2010-07-14T02:50:35.000Z","Short-tempered. Workaholic. CPA-Auditor.","","PAGASA 12:20pm: YELLOW advisory for Metro Manila. Moderate-heavy rains in next 3 hours, possible floods in low-lying areas","","","en","en","false","[44728980]","","543357","http://t.co/A0nEVmvNKm","false","false","false","137","false","","7543","false","","13349","Philippines","","","8","-1","","","ANCALERTS","","","2013-08-18T05:16:16.000Z","false","","","","false","4685357","784","false","368967734542864384","Don","44728980","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","2009-06-04T21:26:24.000Z","","News updates & breaking news from the Philippines. Like our Facebook page:  http://t.co/xr1ETuyubS.","","PAGASA 12:20pm: YELLOW advisory for Metro Manila. Moderate-heavy rains in next 3 hours, possible floods in low-lying areas","en","","RT @ANCALERTS: PAGASA 12:20pm: YELLOW advisory for Metro Manila. Moderate-heavy rains in next 3 hours, possible floods in low-lying areas","false","en","","18718","https://t.co/7JCHskUeoD","true","false","137","false","false","","6","","false","","5714","","0","","","","","-1","dondidonnCPA","","true","","2013-08-18T05:28:57.000Z","","[ANCALERTS]","false"
"147","431","Bandila","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","false","369089366003441664","222816570","2010-12-04T15:01:28.000Z","Serving food for a living. Cheers!","","Red Rainfall Warning No. 6

Weather System: Southwest Monsoon (#Habagat) enhanced by 
Tropical Storm “MARING”... http://t.co/xwxcCuDhDl","","","en","en","false","[214945741]","","53724","http://t.co/TG8U7yR8","true","false","false","39","false","","1174","false","[http://fb.me/Y8l2BYc2]","428","Manila, Philippines","","","2","-1","","","bandila","[Habagat]","","2013-08-18T13:32:16.000Z","false","","","","false","546401","192","false","369093215552430081","coy cabrera","214945741","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2010-11-12T16:30:53.000Z","","Ibinabandila ang katotohanan, The official Twitter account of Bandila ABS-CBN's late night newscast","","Red Rainfall Warning No. 6

Weather System: Southwest Monsoon (#Habagat) enhanced by 
Tropical Storm “MARING”... http://t.co/xwxcCuDhDl","en","","RT @bandila: Red Rainfall Warning No. 6

Weather System: Southwest Monsoon (#Habagat) enhanced by 
Tropical Storm “MARING”... http://t.co/x…","false","en","","2353","","true","false","39","false","false","","2","","false","","1842","Cainta, Rizal","0","","","","[Habagat]","-1","coycabrera","","false","","2013-08-18T13:47:34.000Z","","[bandila]","false"
"116","73","","","","","62820494","2009-08-04T13:42:01.000Z","a freetime wonderer","","#keepsafe #infoph #floodph #walangpasok #batalngangmasaya #leptospirosis http://t.co/NSvJA2xdcF","","","","und","","","","","","","","false","0","false","","","false","","55","","","","","","","","","","","","false","","","","false","","","false","369259880403570689","Aaron Munda","","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","","","","","","en","","","false","","","808","http://t.co/RRxN9620N1","true","false","","","","","0","[http://instagram.com/p/dLNclFvSom/]","","","","Sydney 2162","0","","","","[keepsafe, infoph, floodph, walangpasok, batalngangmasaya, leptospirosis]","-1","Bimbyworld","","","","2013-08-19T00:49:50.000Z","","",""
"27","67","","","","","67215520","2009-08-20T03:30:00.000Z","my life.. my choices.. my mistakes.. my lessons..","","#Habagat tama na.. #baha na samen.. LORD, patigilin mo na ulan..","","","","tl","","","","","","","","false","0","false","","","false","","53","","","","","","","","","","","","false","","","","false","","","false","369124328891088897","Karla Jimenez","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","","","","en","","","false","","","1100","","true","false","","","","","1","","","","","Philippines","1","","","","[Habagat, baha]","-1","sultrykixx","","","","2013-08-18T15:51:12.000Z","","",""
"368","462","Jonas Terrado","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","false","369130898257481731","42802494","2009-05-27T03:15:08.000Z","21/Manila/Bulacan","","Halos hanggang tuhod na yung baha sa Manila City Hall, Philippine Normal, Kalaw, UN Ave up until Remedios. Not passable for light vehicles","","","en","tl","false","[39453531]","","57808","https://t.co/lf5qVRHmk9","true","false","false","63","false","","71","false","","1324","Philippines","","","6","-1","","","jonastsinelas","","","2013-08-18T16:17:18.000Z","false","","","","false","5063","830","false","369132369371856897","Gengsterific","39453531","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2009-05-12T07:17:32.000Z","","Sportswriter for the Manila Bulletin","","Halos hanggang tuhod na yung baha sa Manila City Hall, Philippine Normal, Kalaw, UN Ave up until Remedios. Not passable for light vehicles","en","","RT @jonastsinelas: Halos hanggang tuhod na yung baha sa Manila City Hall, Philippine Normal, Kalaw, UN Ave up until Remedios. Not passable …","false","tl","","8722","","true","false","63","false","false","","1","","false","","245","Manila, Philippines","0","","","","","-1","gengdelossantos","","false","","2013-08-18T16:23:09.000Z","","[jonastsinelas]","false"
"120","562","Ernie Manio","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false","369217109932265472","491059922","2012-02-13T06:28:46.000Z","Tell myself it's time now, gotta let go.","","LIPA CITY: Classes in all levels suspended today, Aug 19. #MaringPH #walangpasok @ancalerts @ABSCBNNews","","","en","en","false","[52407089, 44728980, 15872418]","","13659","https://t.co/GEpoV4UiES","true","false","false","50","false","","27","false","","92","Quezon City, National Capital Region","","","20","-1","","","ernie_manio","[MaringPH, walangpasok]","","2013-08-18T21:59:53.000Z","false","","[ANCALERTS, ABSCBNNews]","","false","3164","928","false","369218700726902784","Anne Swift♥","52407089","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2009-06-30T14:23:27.000Z","","Journalist. Leader. Student. Good Son.","","LIPA CITY: Classes in all levels suspended today, Aug 19. #MaringPH #walangpasok @ancalerts @ABSCBNNews","en","[44728980, 15872418]","RT @ernie_manio: LIPA CITY: Classes in all levels suspended today, Aug 19. #MaringPH #walangpasok @ancalerts @ABSCBNNews","false","en","","1464","","false","false","50","false","false","","0","","false","","5726","Philippines","0","","","","[MaringPH, walangpasok]","-1","AnneBelat13","","false","","2013-08-18T22:06:12.000Z","","[ernie_manio, ANCALERTS, ABSCBNNews]","false"
"47","92","Rappler","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","false","369215392624812035","113323163","2010-02-11T11:39:59.000Z","","","Tweet us #MaringPH photos using #FloodPH and follow updates on this LIVE BLOG: http://t.co/GZm9op3MFS http://t.co/16EEO9HHE0","","","en","en","false","[330826792]","","489934","https://t.co/tz2uMgi2kb","true","false","false","27","false","","3720","false","[http://www.rappler.com/nation/special-coverage/weather-alert/36725-live-blog-floodph-monday-august-19]","35","Philippines","","","3","-1","","","rapplerdotcom","[MaringPH, FloodPH]","[http://pbs.twimg.com/media/BR-3cXpCQAEIGfh.jpg]","2013-08-18T21:53:03.000Z","false","","","","false","3044679","408","false","369227894649663488","Yhing Ferraren","330826792","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2011-07-07T06:34:10.000Z","","The Social News Network. Uncompromised journalism that inspires smart conversation and a thirst for change. We have an app for iOS, Android & Windows8!","","Tweet us #MaringPH photos using #FloodPH and follow updates on this LIVE BLOG: http://t.co/GZm9op3MFS http://t.co/16EEO9HHE0","en","","RT @rapplerdotcom: Tweet us #MaringPH photos using #FloodPH and follow updates on this LIVE BLOG: http://t.co/GZm9op3MFS http://t.co/16EEO9…","false","en","","464","","true","false","27","false","false","","0","[http://www.rappler.com/nation/special-coverage/weather-alert/36725-live-blog-floodph-monday-august-19]","false","[photo]","7569","philippines","0","","","","[MaringPH, FloodPH]","-1","1986yhing","","true","","2013-08-18T22:42:44.000Z","","[rapplerdotcom]","false"
