"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"1091","623","","","","","521079959","2012-03-11T06:47:19.000Z","I'm the space invader 🚀","","RT @BBCBreaking: Fire in nightclub in southern #Brazil city of Santa Maria leaves at least 70 dead, local media report http://t.co/zMddoBYh","","","","en","","[5402612]","","","","","","false","0","false","","","false","","379","","","","","","","","","","","","false","","","","false","","","false","295483536855670784","Rama Adira","","<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>","","","","","","en","","","false","","","14675","https://t.co/ocxCe5l5dF","false","false","","","","","2","[http://bbc.in/1104lpk]","","","","Selakopi, Bogor","0","","","","[Brazil]","-1","ramatrooper","","","","2013-01-27T10:48:59.000Z","","[BBCBreaking]",""
"117","341","","","","","79046890","2009-10-02T00:26:32.000Z","de boa...... stress só piora a situação .....","","@rafaelcolling cidade está em estado de choque. Domingo de céu lindo e essa tragédia. #tragediaemsm","-1","","","pt","","[241290841]","","","","","","false","0","false","","","false","","349","","","","","","","rafaelcolling","","","","","false","","","","false","","","false","295499995308761091","EDUARDO GONÇALVES","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","","","pt","","","false","","","3561","","true","false","","","","","0","","","","","Santa Maria-RS","0","241290841","","","[tragediaemsm]","-1","Eduardo_SMA","","","","2013-01-27T11:54:23.000Z","","[rafaelcolling]",""
"143","428","","","","","447249448","2011-12-26T17:36:19.000Z","Acadêmico de Psicologia ❣","","Luto #SantaMaria","","","","pt","","","","","","","","false","0","false","","","false","","1245","","","","","","","","","","","","false","","","","false","","","false","295490306449760256","Bruno","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","pt","","","false","","","5775","","true","false","","","","","0","","","","","Santa Maria","0","","","","[SantaMaria]","-1","FigueiroBrunoo","","","","2013-01-27T11:15:53.000Z","","",""
"141","2118","BBC Breaking News","<a href=""http://www.bbc.co.uk/news/"" rel=""nofollow"">BBC News</a>","false","295492637618761728","188374017","2010-09-08T15:45:40.000Z","Dirty Commie. Vidya and music. Ryze one trick. Bad eric andre memes.","","#Brazil update: At least 90 believed dead after fireworks display set off as band played in nightclub, reports say http://t.co/TXHSsb4y","","","en","en","false","[5402612]","","34430","http://t.co/vBzl7LOaso","false","false","false","357","false","","132027","false","[http://bbc.in/110bDsY]","36768","London, UK","","","35","-1","","","BBCBreaking","[Brazil]","","2013-01-27T11:25:09.000Z","false","","","","false","38241772","3","false","295492768535543809","Thomas","5402612","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2007-04-22T14:42:37.000Z","","Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.","","#Brazil update: At least 90 believed dead after fireworks display set off as band played in nightclub, reports say http://t.co/TXHSsb4y","en","","RT @BBCBreaking: #Brazil update: At least 90 believed dead after fireworks display set off as band played in nightclub, reports say http ...","false","en","","71067","","true","false","357","false","false","","7","","false","","0","England, United Kingdom","0","","","","[Brazil]","-1","Tomcezz","","true","","2013-01-27T11:25:40.000Z","","[BBCBreaking]","false"
"11008","0","","","","","195077874","2010-09-25T18:55:06.000Z","Updates and news about:Health,Politics,Multimedia,sports,Entertainments,Stars,Movies and Products https://t.co/vvnZyjpLXc,37089898.","","BREAKING UPDATE: Nightclub fire kills at least 200 in southern #Brazil http://t.co/vlt6QfZe”","","","","en","","","","","","","","false","0","false","","","false","","870","","","","","","","","","","","","false","","","","false","","","false","295500850959372288","Pleziavi™ following","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","","","fr","","","false","","","38512","https://t.co/Px86473fBI","true","false","","","","","51","[http://on.rt.com/47xmyg]","","","","Worldwide.","0","","","","[Brazil]","-1","pleziavi","","","","2013-01-27T11:57:47.000Z","","",""
"15674","874","Breaking News","<a href=""http://www.breakingnews.com"" rel=""nofollow"">breakingnews.com</a>","false","295480570161549312","132227518","2010-04-12T17:02:00.000Z","Conselheiro gremista 2013-2019. Conselheiro do IGT. Sócio do @Gremio desde 13/6/1975. Opiniões aqui expressas não representam minha empresa. RT nao é endosso.","","At least 90 people die in a nightclub fire in southern Brazil, local media says - @Reuters","","","en","en","false","[6017542, 1652541]","","101411","https://t.co/yjD4mOeepa","true","false","false","288","false","","89696","false","","40522","NYC, LA, London","","","10","-1","","","BreakingNews","","","2013-01-27T10:37:12.000Z","false","","[Reuters]","","false","9565768","549","false","295482123358449664","Alexandre Aguiar","6017542","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2007-05-13T23:06:45.000Z","","","","At least 90 people die in a nightclub fire in southern Brazil, local media says - @Reuters","pt","[1652541]","RT @BreakingNews: At least 90 people die in a nightclub fire in southern Brazil, local media says - @Reuters","false","en","","102210","","true","false","288","false","false","","130","","false","","6","Porto Alegre, Brazil","0","","","","","-1","alexaguiarpoa","","true","","2013-01-27T10:43:22.000Z","","[BreakingNews, Reuters]","false"
"310","1106","Roomee Times","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","295498315540357120","416562529","2011-11-19T21:30:55.000Z","I Love Trending Paparazzi...","","Incêndio na boate Kiss, em Santa Maria, deixa dezenas de feridos. Segundo a Brigada Militar, http://t.co/1edxbDZz","","","en","pt","false","[1044507925]","","4304","http://t.co/gd2RojkaaI","false","false","false","2","false","","13","false","[http://wp.me/p2XxnK-oW]","2036","","","","2","-1","","","RoomeeTimes","","","2013-01-27T11:47:43.000Z","false","","","","false","1161","1830","false","295499223565225984","Kim Selter","1044507925","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2012-12-29T10:55:47.000Z","","Here You Can Find The Latest Trending Topics Latest News About World, Entertainment, Fashion, Lifestyle and Much More","","Incêndio na boate Kiss, em Santa Maria, deixa dezenas de feridos. Segundo a Brigada Militar, http://t.co/1edxbDZz","en","","RT @RoomeeTimes: Incêndio na boate Kiss, em Santa Maria, deixa dezenas de feridos. Segundo a Brigada Militar, http://t.co/1edxbDZz","false","pt","","3482","","false","false","2","false","false","","5","[http://wp.me/p2XxnK-oW]","false","","512","","0","","","","","-1","paparazzi4you","","false","","2013-01-27T11:51:19.000Z","","[RoomeeTimes]","false"
"5627","4348","","","","","57891628","2009-07-18T08:46:02.000Z","","","RT @diariosm: A @GauchaSM informa que os corpos começam a ser recolhidos e deslocados ao IML. #tragediaemSM #boatekiss","","","","pt","","[46762060, 609121264]","","","","","","false","0","false","","","false","","9687","","","","","","","","","","","","false","","","","false","","","false","295456114496118784","Tuka Scaletti","","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","","","","","","pt","","","false","","","131793","http://t.co/eWEZd1zazh","true","false","","","","","403","","","","","Curitiba - Paraná - Brasil ","0","","","","[tragediaemSM, boatekiss]","-1","TukaScaletti","","","","2013-01-27T09:00:01.000Z","","[diariosm, GauchaSM]",""
"90633","96346","Rádio Gaúcha","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","295436606205214720","218076310","2010-11-21T10:32:10.000Z","Quem fala sem o coração naquilo que fala não alcança o coração que deseja atingir.. (Emmanuel)","","Todos os hospitais de Santa Maria estão lotados. Prédio da boate Kiss está sob ameaça de desabamento.","","","pt","pt","false","[46409160]","","256088","https://t.co/Qq8WG3Jy6r","false","false","false","77","false","","1356","false","","143","Porto Alegre, RS, Brasil","","","1","-1","","","RdGaucha","","","2013-01-27T07:42:30.000Z","false","","","","false","567728","106","false","295503451423657984","Hipólito","46409160","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","2009-06-11T15:20:45.000Z","","FM 93,7 e AM 600 | Breaking news and sports radio station | Fale conosco no ar pelo WhatsApp: 51 99699-5218","","Todos os hospitais de Santa Maria estão lotados. Prédio da boate Kiss está sob ameaça de desabamento.","pt","","RT @RdGaucha: Todos os hospitais de Santa Maria estão lotados. Prédio da boate Kiss está sob ameaça de desabamento.","false","pt","","21448","https://t.co/w7YTrnAIik","true","false","77","false","false","","211","","false","","4541","Brasil ","0","","","","","-1","HipolitoMarques","","true","","2013-01-27T12:08:07.000Z","","[RdGaucha]","false"
"3047","4390","","","","","404609857","2011-11-04T05:00:41.000Z","Men marry women with the hope they will never change. “Women marry men with the hope they will change. “And they are both disappointed.”","","At least 90 people killed in Brazil nightclub fire: A huge fire sweeps through a nightclub in Santa Maria, south... http://t.co/0jrigsAO","","","","en","","","","","","","","false","1","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","295500834182135808","Josephine Beavers","","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","","","","","","en","","","false","","","16972","","false","false","","","","","1","[http://bit.ly/10THya0]","","","","United States","0","","","","","-1","JosephineBeaver","","","","2013-01-27T11:57:43.000Z","","",""
